조회_시도,조회기간,DT,SIDO_CD,SGG_CD,NIGHT_SRCH_CNT,SRCH_CNT
00,2024_1-8,202406,00,00000,5364706,27850975
00,2024_1-8,202407,00,00000,6725099,31261860
00,2024_1-8,202408,00,00000,6906412,34654235
00,2026_1-8,202601,00,00000,2908522,18265121
00,2026_1-8,202602,00,00000,2927178,18889471
00,2026_1-8,202603,00,00000,3034748,19417137
00,2026_1-8,202604,00,00000,3789300,21685547
00,2026_1-8,202605,00,00000,4507734,27534527
00,2026_1-8,202606,00,00000,3673302,20677594
00,2026_1-8,202607,00,00000,4155107,23039047
00,2026_1-8,202608,00,00000,4651471,27058412
00,2025,202501,00,00000,3045023,18951852
00,2025,202502,00,00000,2797322,16266872
00,2025,202503,00,00000,3404229,20852902
00,2025,202504,00,00000,3602402,21340662
00,2025,202505,00,00000,4303840,26887540
00,2025,202506,00,00000,3974019,23385099
00,2025,202507,00,00000,4371391,23318682
00,2025,202508,00,00000,4818478,27565622
00,2025,202509,00,00000,3758414,20752514
00,2025,202510,00,00000,7249759,46561133
00,2025,202511,00,00000,3940911,25854020
00,2025,202512,00,00000,3563592,19934342
