조회_SGG_CD,조회_지역,조회기간,SIDO_CD,SGG_CD,SIDO_NM,SGG_NM,SIMIL_SCOR
47170,경상북도 안동시,202601-202608,47,47130,경상북도,경주시,0.9796181752787886
47170,경상북도 안동시,202601-202608,47,47210,경상북도,영주시,0.9772820023439983
47170,경상북도 안동시,202601-202608,47,47280,경상북도,문경시,0.9716329931346632
