조회_시도,조회기간,SIDO_CD,SIDO_NM,LRFRN_DIV_CD,LRFRN_DIV_NM,NIGHT_CNSM_AMT,CNSM_AMT
47,2026_1-8,11,서울특별시,1,외지인,11551979682134.273,30711415819977.24
47,2026_1-8,41,경기도,1,외지인,8403929750666.683,26563817584305.164
47,2026_1-8,26,부산광역시,1,외지인,2274147655044.699,6789700666540.696
47,2026_1-8,28,인천광역시,1,외지인,1935435103299.7974,5826561382735.202
47,2026_1-8,27,대구광역시,1,외지인,1323832290055.4026,4054079846432.799
47,2026_1-8,48,경상남도,1,외지인,1236743721171.6995,4065634648402.804
47,2026_1-8,43,충청북도,1,외지인,1224932610012.5002,3824779404148.5005
47,2026_1-8,47,경상북도,1,외지인,1206960016533.6016,3958918601678.5967
47,2026_1-8,44,충청남도,1,외지인,1157383965472.2021,3920862303325.0024
47,2026_1-8,51,강원특별자치도,1,외지인,1091682557614.1995,3644623571149.7964
47,2026_1-8,30,대전광역시,1,외지인,1079970614723.6001,3357973177437.0996
47,2026_1-8,52,전북특별자치도,1,외지인,734961178076.3024,2418549383542.4033
47,2026_1-8,50,제주특별자치도,1,외지인,585848571583.2,1825218334445.1985
47,2026_1-8,31,울산광역시,1,외지인,580117812678.8998,1683103689936.7993
47,2026_1-8,29,광주광역시,1,외지인,538783550411.89954,1680985218345.7988
47,2026_1-8,46,전라남도,1,외지인,509103594592.4008,1885076116985.103
47,2026_1-8,12,,1,외지인,369296466449.6004,1223739214888.0012
47,2026_1-8,36,세종특별자치시,1,외지인,107602682232.29997,336304910459.1
47,2026_1-8,11,서울특별시,2,외국인,2477374425363.596,7781337452350.395
47,2026_1-8,26,부산광역시,2,외국인,295975530283.80023,872454810063.9012
47,2026_1-8,28,인천광역시,2,외국인,292662184097.2,753871243505.2999
47,2026_1-8,41,경기도,2,외국인,237270718922.1997,715022308754.4022
47,2026_1-8,50,제주특별자치도,2,외국인,133803113974.50003,410520440575.10016
47,2026_1-8,47,경상북도,2,외국인,21932490718.10002,54586362613.49999
47,2026_1-8,27,대구광역시,2,외국인,20811032708.400013,60662012405.8
47,2026_1-8,48,경상남도,2,외국인,17696531585.1,47280664588.20012
47,2026_1-8,51,강원특별자치도,2,외국인,15457077768.10001,51101105311.09996
47,2026_1-8,30,대전광역시,2,외국인,13860652373.599995,45032405832.100006
47,2026_1-8,44,충청남도,2,외국인,13084154941.9,35912808807.39997
47,2026_1-8,52,전북특별자치도,2,외국인,11943309989.300003,29992491691.400013
47,2026_1-8,43,충청북도,2,외국인,10377071541.699995,25669428152.20001
47,2026_1-8,31,울산광역시,2,외국인,7928833504.200004,18727932448.999996
47,2026_1-8,29,광주광역시,2,외국인,5892182928.700004,15319081690.599989
47,2026_1-8,46,전라남도,2,외국인,4726998795.299997,12932182280.800016
47,2026_1-8,12,,2,외국인,3417033942.1,9017002805.800001
47,2026_1-8,36,세종특별자치시,2,외국인,2600789011.2,6141954273.400001
47,2025,11,서울특별시,0,현지인,696059522941.7018,2780782542422.8037
47,2025,41,경기도,0,현지인,464041902378.5007,1844422056282.9028
47,2025,26,부산광역시,0,현지인,147137554573.2,693673935196.6998
47,2025,30,대전광역시,0,현지인,67201169553.80003,299198084094.00024
47,2025,48,경상남도,0,현지인,65194952428.10004,288039223745.7006
47,2025,27,대구광역시,0,현지인,56768908989.700035,221622905391.2999
47,2025,51,강원특별자치도,0,현지인,44282701974.39998,218444761106.50055
47,2025,43,충청북도,0,현지인,41081906190.89997,175556318772.5
47,2025,28,인천광역시,0,현지인,40924845962.90002,149544982532.4
47,2025,44,충청남도,0,현지인,36682578316.8,144034418119.59998
47,2025,29,광주광역시,0,현지인,35253258332.30003,193602403412.39996
47,2025,47,경상북도,0,현지인,31927988196.499985,155281321599.3002
47,2025,50,제주특별자치도,0,현지인,25816424290.399994,131772110469.80002
47,2025,46,전라남도,0,현지인,24881669507.69997,118548286917.59998
47,2025,31,울산광역시,0,현지인,24777817128.299995,98380882243.09999
47,2025,52,전북특별자치도,0,현지인,21149674930.200005,90151663969.29982
47,2025,36,세종특별자치시,0,현지인,2980345261.0,11848925052.999998
47,2025,11,서울특별시,1,외지인,16996493176952.184,44544491947583.87
47,2025,41,경기도,1,외지인,11862726087850.535,37294288700402.695
47,2025,26,부산광역시,1,외지인,3206505283267.6963,9434538490170.402
47,2025,28,인천광역시,1,외지인,2841039549947.103,8452313172227.511
47,2025,27,대구광역시,1,외지인,1978526692067.6008,5923932213879.195
47,2025,43,충청북도,1,외지인,1787865531440.6985,5507617733044.098
47,2025,48,경상남도,1,외지인,1748234680260.0034,5648752030863.205
47,2025,47,경상북도,1,외지인,1689361931991.9973,5454552246999.206
47,2025,44,충청남도,1,외지인,1653538256898.3994,5486583698896.608
47,2025,30,대전광역시,1,외지인,1555806485895.5994,4758753663324.996
47,2025,51,강원특별자치도,1,외지인,1485046897204.7993,4954400836780.6
47,2025,52,전북특별자치도,1,외지인,1045160013127.299,3418009032622.6055
47,2025,29,광주광역시,1,외지인,1030620477869.3002,3123045761521.498
47,2025,46,전라남도,1,외지인,987244623451.0011,3597760801012.9014
47,2025,50,제주특별자치도,1,외지인,856610867960.0004,2656137906614.8
47,2025,31,울산광역시,1,외지인,827828698231.7993,2360075544812.302
47,2025,36,세종특별자치시,1,외지인,154302221582.90002,469889587309.7002
47,2025,11,서울특별시,2,외국인,2722334582195.8984,8308211733962.513
47,2025,28,인천광역시,2,외국인,332920549935.89996,823310577071.7991
47,2025,26,부산광역시,2,외국인,315746622890.89966,939635157314.1992
47,2025,41,경기도,2,외국인,290521521494.5997,846834192758.1002
47,2025,50,제주특별자치도,2,외국인,110597237552.5999,332709152961.5003
47,2025,47,경상북도,2,외국인,27625709219.39997,67626690169.200066
47,2025,27,대구광역시,2,외국인,24839378144.300034,72802922225.3
47,2025,48,경상남도,2,외국인,24581247983.399986,62475874282.10005
47,2025,51,강원특별자치도,2,외국인,15580216715.399977,57796513432.39997
47,2025,30,대전광역시,2,외국인,15096716549.599997,51189489545.40003
47,2025,52,전북특별자치도,2,외국인,14505485622.99999,36168532868.70005
47,2025,44,충청남도,2,외국인,14278713055.399988,40510352057.89996
47,2025,43,충청북도,2,외국인,10948785350.400003,28774920453.200024
47,2025,29,광주광역시,2,외국인,8863697071.200003,23575285815.0
47,2025,31,울산광역시,2,외국인,8481998889.399994,21185372342.2
47,2025,46,전라남도,2,외국인,7296127939.500011,20668054679.2
