조회_SGG_CD,조회_지역,조회기간,SIDO_CD,SGG_CD,SIDO_NM,SGG_NM,SIMIL_SCOR
47170,경상북도 안동시,202401-202408,48,48127,경상남도,창원시 마산회원구,0.9976375704333256
47170,경상북도 안동시,202401-202408,44,44200,충청남도,아산시,0.9939702894763788
47170,경상북도 안동시,202401-202408,52,52113,전북특별자치도,전주시 덕진구,0.9922066212148506
