조회_SGG_CD,조회_지역,조회기간,DPTR_REGN_NM,DPTR_REGN_DTL_NM,DISP_NM,DTL_TOU_NUM,TOT_DTL_TOU_NUM_RATE,TOU_NUM,TOU_NUM_SQRT,TOT_DPTR_REGN_NM_RATE
47170,경상북도 안동시,202601-202608,경기도,성남시 중원구,경기도 성남시 중원구,17585.0,0.2,1164052.0,1079.0,9.9
47170,경상북도 안동시,202601-202608,경기도,의정부시,경기도 의정부시,29077.0,0.2,1164052.0,1079.0,9.9
47170,경상북도 안동시,202601-202608,경기도,안양시 만안구,경기도 안양시 만안구,18841.0,0.2,1164052.0,1079.0,9.9
47170,경상북도 안동시,202601-202608,경기도,부천시 원미구,경기도 부천시 원미구,28565.0,0.2,1164052.0,1079.0,9.9
47170,경상북도 안동시,202601-202608,경기도,광명시,경기도 광명시,19346.0,0.2,1164052.0,1079.0,9.9
47170,경상북도 안동시,202601-202608,경기도,안산시 상록구,경기도 안산시 상록구,24282.0,0.2,1164052.0,1079.0,9.9
47170,경상북도 안동시,202601-202608,경기도,안산시 단원구,경기도 안산시 단원구,25391.0,0.2,1164052.0,1079.0,9.9
47170,경상북도 안동시,202601-202608,경기도,고양시 일산동구,경기도 고양시 일산동구,22437.0,0.2,1164052.0,1079.0,9.9
47170,경상북도 안동시,202601-202608,경기도,고양시 일산서구,경기도 고양시 일산서구,19261.0,0.2,1164052.0,1079.0,9.9
47170,경상북도 안동시,202601-202608,경기도,구리시,경기도 구리시,19539.0,0.2,1164052.0,1079.0,9.9
47170,경상북도 안동시,202601-202608,경기도,오산시,경기도 오산시,21285.0,0.2,1164052.0,1079.0,9.9
47170,경상북도 안동시,202601-202608,경기도,군포시,경기도 군포시,21360.0,0.2,1164052.0,1079.0,9.9
47170,경상북도 안동시,202601-202608,경기도,파주시,경기도 파주시,27896.0,0.2,1164052.0,1079.0,9.9
47170,경상북도 안동시,202601-202608,경기도,이천시,경기도 이천시,26150.0,0.2,1164052.0,1079.0,9.9
47170,경상북도 안동시,202601-202608,경기도,안성시,경기도 안성시,21147.0,0.2,1164052.0,1079.0,9.9
47170,경상북도 안동시,202601-202608,경기도,화성시 만세구,경기도 화성시 만세구,20240.0,0.2,1164052.0,1079.0,9.9
47170,경상북도 안동시,202601-202608,경기도,양주시,경기도 양주시,20656.0,0.2,1164052.0,1079.0,9.9
47170,경상북도 안동시,202601-202608,경기도,여주시,경기도 여주시,18015.0,0.2,1164052.0,1079.0,9.9
47170,경상북도 안동시,202601-202608,경기도,양평군,경기도 양평군,19379.0,0.2,1164052.0,1079.0,9.9
47170,경상북도 안동시,202601-202608,경기도,부천시 소사구,경기도 부천시 소사구,13969.0,0.1,1164052.0,1079.0,9.9
47170,경상북도 안동시,202601-202608,경기도,부천시 오정구,경기도 부천시 오정구,8264.0,0.1,1164052.0,1079.0,9.9
47170,경상북도 안동시,202601-202608,경기도,과천시,경기도 과천시,8472.0,0.1,1164052.0,1079.0,9.9
47170,경상북도 안동시,202601-202608,경기도,의왕시,경기도 의왕시,12847.0,0.1,1164052.0,1079.0,9.9
47170,경상북도 안동시,202601-202608,경기도,화성시 효행구,경기도 화성시 효행구,11991.0,0.1,1164052.0,1079.0,9.9
47170,경상북도 안동시,202601-202608,경기도,화성시 병점구,경기도 화성시 병점구,12838.0,0.1,1164052.0,1079.0,9.9
47170,경상북도 안동시,202601-202608,경기도,포천시,경기도 포천시,10706.0,0.1,1164052.0,1079.0,9.9
47170,경상북도 안동시,202601-202608,경기도,가평군,경기도 가평군,6970.0,0.1,1164052.0,1079.0,9.9
47170,경상북도 안동시,202601-202608,경기도,동두천시,경기도 동두천시,4845.0,0.0,1164052.0,1079.0,9.9
47170,경상북도 안동시,202601-202608,경기도,연천군,경기도 연천군,3371.0,0.0,1164052.0,1079.0,9.9
47170,경상북도 안동시,202601-202608,서울특별시,송파구,서울특별시 송파구,67873.0,0.6,856259.0,925.0,7.3
47170,경상북도 안동시,202601-202608,서울특별시,관악구,서울특별시 관악구,53281.0,0.5,856259.0,925.0,7.3
47170,경상북도 안동시,202601-202608,서울특별시,노원구,서울특별시 노원구,44705.0,0.4,856259.0,925.0,7.3
47170,경상북도 안동시,202601-202608,서울특별시,강서구,서울특별시 강서구,44118.0,0.4,856259.0,925.0,7.3
47170,경상북도 안동시,202601-202608,서울특별시,강남구,서울특별시 강남구,49325.0,0.4,856259.0,925.0,7.3
47170,경상북도 안동시,202601-202608,서울특별시,강동구,서울특별시 강동구,52631.0,0.4,856259.0,925.0,7.3
47170,경상북도 안동시,202601-202608,서울특별시,성동구,서울특별시 성동구,29326.0,0.3,856259.0,925.0,7.3
47170,경상북도 안동시,202601-202608,서울특별시,광진구,서울특별시 광진구,34892.0,0.3,856259.0,925.0,7.3
47170,경상북도 안동시,202601-202608,서울특별시,동대문구,서울특별시 동대문구,38414.0,0.3,856259.0,925.0,7.3
47170,경상북도 안동시,202601-202608,서울특별시,중랑구,서울특별시 중랑구,30355.0,0.3,856259.0,925.0,7.3
47170,경상북도 안동시,202601-202608,서울특별시,성북구,서울특별시 성북구,38304.0,0.3,856259.0,925.0,7.3
47170,경상북도 안동시,202601-202608,서울특별시,은평구,서울특별시 은평구,35181.0,0.3,856259.0,925.0,7.3
47170,경상북도 안동시,202601-202608,서울특별시,서대문구,서울특별시 서대문구,30372.0,0.3,856259.0,925.0,7.3
47170,경상북도 안동시,202601-202608,서울특별시,마포구,서울특별시 마포구,31765.0,0.3,856259.0,925.0,7.3
47170,경상북도 안동시,202601-202608,서울특별시,구로구,서울특별시 구로구,30365.0,0.3,856259.0,925.0,7.3
47170,경상북도 안동시,202601-202608,서울특별시,영등포구,서울특별시 영등포구,37570.0,0.3,856259.0,925.0,7.3
47170,경상북도 안동시,202601-202608,서울특별시,동작구,서울특별시 동작구,37019.0,0.3,856259.0,925.0,7.3
