조회_SGG_CD,조회_지역,조회기간,SIDO_CD,SGG_CD,SIDO_NM,SGG_NM,SIMIL_SCOR
47170,경상북도 안동시,202401-202408,48,48820,경상남도,고성군,0.9888309532202522
47170,경상북도 안동시,202401-202408,41,41830,경기도,양평군,0.98317619436444
47170,경상북도 안동시,202401-202408,26,26320,부산광역시,북구,0.9828669409654148
