조회_SGG_CD,조회_지역,조회기간,FROM_NM,TO_NM,DPTR_REGN_NM,DPTR_REGN_DTL_NM,TOU_NUM,TOU_NUM_SQRT,TOU_NUM_RATE,DTL_TOU_NUM,DTL_TOU_NUM_SQRT,DTL_TOU_NUM_RATE
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 예천군,체험관광,웰니스관광,722,27.0,0.4,588,24.0,81.4
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 의성군,숙박,펜션/민박,713,27.0,0.4,7,3.0,1.0
47170,경상북도 안동시,202501-202512,경상북도 안동시,대구광역시 수성구,숙박,호텔,713,27.0,0.4,642,25.0,90.0
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 의성군,숙박,기타숙박,713,27.0,0.4,9,3.0,1.3
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 의성군,숙박,모텔,713,27.0,0.4,399,20.0,56.0
47170,경상북도 안동시,202501-202512,경상북도 안동시,대구광역시 수성구,숙박,모텔,713,27.0,0.4,71,8.0,10.0
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 의성군,숙박,캠핑,713,27.0,0.4,298,17.0,41.8
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 예천군,쇼핑,쇼핑몰,683,26.0,0.3,64,8.0,9.4
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 예천군,쇼핑,시장,683,26.0,0.3,619,25.0,90.6
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 구미시,숙박,모텔,659,26.0,0.3,305,17.0,46.3
