조회_시도,조회기간,SIDO_CD,SIDO_NM,NIGHT_SRCH_CNT,SRCH_CNT,RATE_NUM
00,2026_1-8,44,충청남도,1228970,9348006,13.15
00,2026_1-8,52,전북특별자치도,561834,4446708,12.63
00,2026_1-8,48,경상남도,991375,7988143,12.41
00,2025,11,서울특별시,10265812,43069330,23.84
00,2025,27,대구광역시,1478346,7722087,19.14
00,2025,28,인천광역시,3572672,19160176,18.65
00,2025,26,부산광역시,2888977,15897490,18.17
00,2025,30,대전광역시,1132017,6622306,17.09
00,2025,31,울산광역시,576425,3452657,16.7
00,2025,41,경기도,15696319,95608719,16.42
00,2025,36,세종특별자치시,263676,1646841,16.01
00,2025,50,제주특별자치도,1085588,7232970,15.01
00,2025,12,전남광주통합특별시,1754717,12174524,14.41
00,2025,51,강원특별자치도,3205491,23589091,13.59
00,2025,44,충청남도,1829165,14184584,12.9
00,2025,43,충청북도,1085231,8578672,12.65
00,2025,47,경상북도,1523973,12205835,12.49
00,2025,52,전북특별자치도,886533,7222361,12.27
00,2025,48,경상남도,1584438,13303597,11.91
