조회_SGG_CD,조회_지역,조회기간,CNTRL_POI_ID,MD5_POI_ID,CNTRL_SIDO_CD,CNTRL_SIDO_NM,CNTRL_SGG_CD,CNTRL_SGG_NM,CNTRL_POI_X_COORD,CNTRL_POI_Y_COORD,CNTRL_TAR_NM,CNTRL_CATE_NM_LARGE,CNTRL_CATE_NM_MIDL,DGRE_CNTRL,BASE_YM,RK
47170,경상북도 안동시,202601-202608,A8E75312083DF3F6330A164A300325F2,72b7ab771a29f3db7e80cc6364b327a2,47,경북,47170,안동시,128.518050379904,36.5447011339018,화천서원,관광지,역사관광,0.22323690828747747,202608,22
47170,경상북도 안동시,202601-202608,0D03964808D98C46D31586C19CA36911,55ab05913143b95c5b5a4455a1e079e4,47,경북,47170,안동시,128.708700148181,36.5497574511488,안동소주전통음식박물관,관광지,문화관광,0.21544604952485005,202608,23
47170,경상북도 안동시,202601-202608,88271C9C0B43343507FB440E1A3C9764,2363b066af52f4e64d8cc421ee5766ba,47,경북,47170,안동시,128.828014669818,36.7032962709245,안동호반자연휴양림,관광지,자연관광,0.1860566015995487,202608,24
47170,경상북도 안동시,202601-202608,CFE3290B1D832EB3BCB80C192019AC4E,59abc4e6b4db67812c9d56a82e4861e1,47,경북,47170,안동시,128.610792936827,36.474459750765,남안동CC,관광지,레저스포츠,0.1851281474933567,202608,25
47170,경상북도 안동시,202601-202608,B7BE253FFAC20858A8CFD69DE574C8B2,bdfbcd179cf87218bbe8301e74087883,47,경북,47170,안동시,128.735503319599,36.5513685694976,케이스호텔/안동점,숙박,숙박,0.18225917928571006,202608,26
47170,경상북도 안동시,202601-202608,CEAC8B3A28D1F878F5E190FA7D4DA32E,719de5cfd5b190694f5b2b59ef08c955,47,경북,47170,안동시,128.5754347896,36.4892356061814,리버힐CC,관광지,레저스포츠,0.17970349608265782,202608,27
47170,경상북도 안동시,202601-202608,21CFD32801ECADC7D9651270A780F2E5,f951b67e9c846f89d465ef99dd0696fb,47,경북,47170,안동시,128.773392533376,36.5673541107376,안동레이크GC,관광지,레저스포츠,0.1784407351567117,202608,28
47170,경상북도 안동시,202601-202608,F3E24262E4EDB871CE4D02D424AE0FE5,80faee9f68baddaef1d68952386b9e83,47,경북,47170,안동시,128.711172078088,36.556562251918,안동강변구장,관광지,문화관광,0.17460801725888903,202608,29
47170,경상북도 안동시,202601-202608,6CF1F6E27B0E7205EEFE75CA3FAD0B40,b66c7db9e76513ecdd4144b2da326feb,47,경북,47170,안동시,128.714949416705,36.5662556229137,월영호텔,숙박,숙박,0.17364651955595678,202606,30
47170,경상북도 안동시,202601-202608,D030C20221D69EB701D890D32EFC687C,7fe09cba97ce77d62073096aaa7445fa,47,경북,47170,안동시,128.608584120615,36.5899347781946,안동시농산물도매시장,관광지,쇼핑,0.16812592362419293,202608,31
47170,경상북도 안동시,202601-202608,BFDAF3CA4B8F3B09134FCE1C86B30370,e4a796f9290084ae77d3ad3084d72d31,47,경북,47170,안동시,128.744667518918,36.5650944841875,안동임청각,관광지,역사관광,0.16112053318682862,202608,32
47170,경상북도 안동시,202601-202608,D6EE0409BA9853CED336EC7A0BF2CF6C,9bc463f60f7112293fb223386e35efdc,47,경북,47170,안동시,128.725587440321,36.5594509151887,안동문화예술의전당,관광지,문화관광,0.15939003468739438,202608,33
47170,경상북도 안동시,202601-202608,AE6079ECE3439EDD65B512DF94CDFF93,9661a5d77585c9ffe04a16455dc311cc,47,경북,47170,안동시,128.842629525148,36.694215222298,한국문화테마파크,관광지,문화관광,0.14918997700797354,202608,34
47170,경상북도 안동시,202601-202608,3C7A7760AA183ED79829492F505525ED,49dd1aa5fa675c4159d456dfed3cfb44,47,경북,47170,안동시,128.863045526714,36.7389870656759,이육사문학관,관광지,문화관광,0.12785984617783508,202608,35
47170,경상북도 안동시,202601-202608,F93F087B88160C27DF33AF249F9A7AE4,187fc079998937654773cca40f9b7c17,47,경북,47170,안동시,128.768704061958,36.573302980195,구름에,숙박,숙박,0.12767219338352748,202608,36
47170,경상북도 안동시,202601-202608,5C0ED7C32BB03773EC188019FADD206C,258789c9d6a4c649bf5e766c16f9cc35,47,경북,47170,안동시,128.70345282626266,36.563979249658246,브라운도트호텔/안동옥동점,숙박,숙박,0.12106599600118596,202608,37
47170,경상북도 안동시,202601-202608,C07BC8797E76CC5354F84E5B8B3CC758,97dea3d1cd114bedba992e18815ee523,47,경북,47170,안동시,128.892125964605,36.7676506856674,고산정,관광지,역사관광,0.1195390010825402,202608,38
