조회연도,FSTV_YEAR,FSTV_ID,FSTV_REPS_NM,FSTV_NM,SIDO_CD,SIDO_NM,SGG_NM,ADONG_NM,LRFRN_DIV_CD,LRFRN_DIV_NM,KTO_TOB_LCLS_CD,KTO_TOB_LCLS_NM,FSTV_PERD_CNT,SUM_CNSM_AMT,SUM_CNSM_AMT_1000,SUM_CNSM_AMT_AVG,SUM_CNSM_AMT_1000_AVG
2019,2019,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,2,외국인,4,쇼핑업,10,6317852.300000001,6318,631785,632
2019,2019,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,3,내국인,4,쇼핑업,10,868152440.7,868152,86815244,86815
2019,2019,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,1,외지인,5,여가서비스업,10,10060567.5,10061,1006057,1006
2019,2019,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,3,내국인,5,여가서비스업,10,10060567.5,10061,1006057,1006
2019,2019,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,1,외지인,6,의료웰니스업,10,47669685.8,47670,4766969,4767
2019,2019,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,2,외국인,6,의료웰니스업,10,950209,950,95021,95
2019,2019,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,3,내국인,6,의료웰니스업,10,47669685.8,47670,4766969,4767
2019,2019,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,1,외지인,7,식음료업,10,761149252.5999997,761149,76114925,76115
2019,2019,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,2,외국인,7,식음료업,10,5763662.199999999,5764,576366,576
2019,2019,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,3,내국인,7,식음료업,10,761149252.5999997,761149,76114925,76115
2022,2022,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,0,현지인,1,숙박업,5,1447367.5,1447,289474,289
2022,2022,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,1,외지인,1,숙박업,5,9912228.2,9912,1982446,1982
2022,2022,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,2,외국인,1,숙박업,5,2931800,2932,586360,586
2022,2022,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,3,내국인,1,숙박업,5,11359595.7,11360,2271919,2272
2022,2022,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,2,외국인,2,여행업,5,44000,44,8800,9
2022,2022,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,1,외지인,3,운송업,5,6445264.100000001,6445,1289053,1289
2022,2022,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,3,내국인,3,운송업,5,6445264.100000001,6445,1289053,1289
2022,2022,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,0,현지인,4,쇼핑업,5,55307953.400000006,55308,11061591,11062
2022,2022,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,1,외지인,4,쇼핑업,5,402607856.1000001,402608,80521571,80522
2022,2022,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,2,외국인,4,쇼핑업,5,2190323.5,2190,438065,438
2022,2022,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,3,내국인,4,쇼핑업,5,457915809.5000001,457916,91583162,91583
2022,2022,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,1,외지인,5,여가서비스업,5,7087168.800000001,7087,1417434,1417
