조회_SGG_CD,조회_지역,조회기간,RK,ITS_BRO_ID,MD5_POI_ID,ITS_BRO_NM,KTO_CATE_NAME_B,SRCH_NTV_CNT
47170,경상북도 안동시,202401-202408,60,0D03964808D98C46D31586C19CA36911,55ab05913143b95c5b5a4455a1e079e4,안동소주전통음식박물관,전시시설,391
47170,경상북도 안동시,202401-202408,62,99C8C4782361F4A2A201114257D298D4,481d02dea7ffdfc1bb0898b8dea76ee4,놀팍,테마공원,376
47170,경상북도 안동시,202401-202408,63,5C0ED7C32BB03773EC188019FADD206C,258789c9d6a4c649bf5e766c16f9cc35,브라운도트호텔안동옥동점,호텔,369
47170,경상북도 안동시,202401-202408,63,A782B110F359861EAE99B07B131FA069,292ef57a119d835b89f5bb7e2132136f,모텔캐슬,모텔,369
47170,경상북도 안동시,202401-202408,65,0E483C962E3777D56D48557F335EBF0A,57319280d324378f8034c7c4865565e6,쇼모텔,모텔,363
47170,경상북도 안동시,202401-202408,66,CFF8A288858953940029FE539475FD61,558290443cdbf44022859babcadf0cf0,브라운도트호텔안동문화의거리점,호텔,361
47170,경상북도 안동시,202401-202408,67,3C7A7760AA183ED79829492F505525ED,49dd1aa5fa675c4159d456dfed3cfb44,이육사문학관,전시시설,349
47170,경상북도 안동시,202401-202408,68,CF5044C4414791A361E524623E4352BF,96cdb3c3f76af883a22e03742a513cd9,용담사계곡,자연경관(산),342
47170,경상북도 안동시,202401-202408,69,6EB7DBB727A1FA77828B7FAE5491F96B,c353ade81d364318beec396fd3d62696,해적선펜션,펜션/민박,339
47170,경상북도 안동시,202401-202408,70,179F744E6D0E9705671E8A912E8F5F90,c4b7dc323e3b70d8a980f15056f6bcec,호텔같은모텔,모텔,323
47170,경상북도 안동시,202401-202408,71,6CF1F6E27B0E7205EEFE75CA3FAD0B40,b66c7db9e76513ecdd4144b2da326feb,월영호텔,호텔,305
47170,경상북도 안동시,202401-202408,72,3DEEDE626F27CCA50800C56217DCDFD0,01caf04f78b1e46a217b1370186f1068,강남실내테니스장,기타레저스포츠,299
47170,경상북도 안동시,202401-202408,73,D4B69486206D5E42BB96C206BAEC4E1A,edbde82c4223ad103ab5e8765fd943d9,한국국학진흥원인문정신연수원,육상레저스포츠,294
47170,경상북도 안동시,202401-202408,74,E5F7FD93D5C70C413CF480545EFBEB29,6c37ead618074dc3fe4962bf12b2d4c8,농암종택,역사유적지,288
47170,경상북도 안동시,202401-202408,75,570CAD1C5F33A8F9C25715CC8A082F1F,c80c722b44ec56e5c35b8ddc2ec30a24,해피큐모텔,모텔,283
47170,경상북도 안동시,202401-202408,76,BFDAF3CA4B8F3B09134FCE1C86B30370,e4a796f9290084ae77d3ad3084d72d31,안동임청각공사중(2024년완공예정),역사유적지,282
47170,경상북도 안동시,202401-202408,76,9E3DCF4195A0B31678254DC852BC8C09,4cd9b9a23d1c08707a723b56062a502f,묵계서원,역사유적지,282
47170,경상북도 안동시,202401-202408,78,AEECE604343C23D0623F80DC27FC79C0,9db4c493f2dfb03680d8c578fcff8c43,안동파크호텔,호텔,273
47170,경상북도 안동시,202401-202408,79,5ABFF96744B0EAEEEAE986F30634C07D,31b5df08abee11372afff141dfe824fb,꿈의궁전,모텔,268
47170,경상북도 안동시,202401-202408,80,BB618A7E8CD883D0D3D4BAFDF1424B2B,1ffb19db6636fc37a8003bc828e5e602,리치모텔,모텔,265
47170,경상북도 안동시,202401-202408,81,3E947B3361FADF620B2B14E21BD2A738,2c0ec2dd415caf3b392e8179085f056b,선성현문화단지한옥체험관,기타관광,264
