조회_SGG_CD,조회_지역,조회기간,SIDO_CD,SIMIL_SGG_CD,SIDO_NM,SGG_NM,SIMIL_SCOR
47170,경상북도 안동시,202501-202512,48,48840,경상남도,남해군,0.9333333333333332
47170,경상북도 안동시,202501-202512,31,31110,울산광역시,중구,0.9333333333333332
47170,경상북도 안동시,202501-202512,52,52180,전북특별자치도,정읍시,0.9333333333333332
