조회_SGG_CD,조회_지역,조회기간,SGGCD,SEQ,TURSM_DNS_DIV_NM,TURSM_DNS_DIV_VAL,TURSM_DNS_DIV_VAL2,SGG_NM
47170,경상북도 안동시,202501-202512,47170,1,방문자유입,96,156,경상북도 안동시
47170,경상북도 안동시,202501-202512,47170,2,숙박방문자 비율,138,114,경상북도 안동시
47170,경상북도 안동시,202501-202512,47170,3,체류시간,231,20,경상북도 안동시
47170,경상북도 안동시,202501-202512,47170,4,목적지 검색량,125,126,경상북도 안동시
47170,경상북도 안동시,202501-202512,47170,5,관광소비,99,153,경상북도 안동시
