조회_SGG_CD,조회_지역,조회기간,DSTNC_DIV_NM,DSTNC_DIV_CD,TOU_NUM,TOU_NUM_RATE
47170,경상북도 안동시,202501-202512,30km 미만,1,842716.0,4.67
47170,경상북도 안동시,202501-202512,30km 이상 70km 미만,2,6331790.0,35.07
47170,경상북도 안동시,202501-202512,70km 이상 140km 미만 ,3,5293748.0,29.32
47170,경상북도 안동시,202501-202512,140km 이상 190km 미만,4,2650693.0,14.68
47170,경상북도 안동시,202501-202512,190km 이상 240km 미만,5,2704777.0,14.98
47170,경상북도 안동시,202501-202512,240km 이상 ,6,230868.0,1.28
