조회_SGG_CD,조회_지역,조회기간,RK,ITS_BRO_ID,MD5_POI_ID,ITS_BRO_NM,KTO_CATE_NAME_B,SRCH_NTV_CNT
47170,경상북도 안동시,202601-202608,1,6BC165A4B9DBCFC9692AF7706FC0794D,fdeb515b719050ed2934841d46f2040a,안동역,교통시설,17498
47170,경상북도 안동시,202601-202608,2,6CB787495DB3768DFC41FD53228103C6,101c58daf41e6c21759125ffe828e86e,안동터미널,교통시설,11500
47170,경상북도 안동시,202601-202608,3,3B4656B45B731E7F16BBF5B3D1C4F8AE,446c3106f3d69d4cef86e1cfe0b876bf,안동하회마을,역사유적지,9603
47170,경상북도 안동시,202601-202608,4,805DB1A51BD0A535C76D9B07EEFE8A9F,20f293475800f79e12653fa07c97258b,월영교,기타관광,7291
47170,경상북도 안동시,202601-202608,5,89B1C6C4EC9DC76E42A3A42EB46261F1,38f348fb19d8d77626d9f186ef9fe402,안동학가산온천,웰니스관광,4773
47170,경상북도 안동시,202601-202608,6,D3CBBA7E99D06CF450917CE4D16CAC47,20c99c680bff19bd1d0925e3aeb26f86,봉정사,종교성지,4126
47170,경상북도 안동시,202601-202608,7,6A8AE4410EE675B86DBF6B6898C9DEB5,365d558c221846b3e972433e9691b393,도산서원,역사유적지,4118
47170,경상북도 안동시,202601-202608,8,E2FE019909E3EAF939A3799CCEE7AA1A,ecbbdcb183a573c859d71c14ace48427,안동그랜드호텔,호텔,3771
47170,경상북도 안동시,202601-202608,9,FF6035F6D19F7D99925C2FC5E5547B03,d709d495a429adce5e59f46969e89f42,스탠포드호텔안동,호텔,3326
47170,경상북도 안동시,202601-202608,10,42E8AED63CD20640B5F2FD04275DD257,0cd50eb0d6cfdb3bb1560c0f51fb2504,병산서원,역사유적지,3094
47170,경상북도 안동시,202601-202608,11,CFE3290B1D832EB3BCB80C192019AC4E,59abc4e6b4db67812c9d56a82e4861e1,남안동CC,육상레저스포츠,2865
47170,경상북도 안동시,202601-202608,12,CEAC8B3A28D1F878F5E190FA7D4DA32E,719de5cfd5b190694f5b2b59ef08c955,리버힐CC,육상레저스포츠,2816
47170,경상북도 안동시,202601-202608,13,A69C29DC804EED269791E5ECBE2D81F5,6c6d95e246b2a07c5685b1963e370cd7,안동국제컨벤션센터,전시시설,2678
47170,경상북도 안동시,202601-202608,14,6F7D6A017DA1AC8D29D7A654F7F53218,3a80de0f040387a963970e5981155c73,안동구시장,시장,2601
47170,경상북도 안동시,202601-202608,15,74217B09CA0E273B9B8F6F339569434B,5f80bb3f155f35d51908a0e971eaac96,안동청과합자회사,시장,2398
47170,경상북도 안동시,202601-202608,16,AE4EF2035A8D785CD2B8359785EE5174,f7a8b2995a274f82e6278ed5f6cc4ccc,CGV안동,공연시설,2273
47170,경상북도 안동시,202601-202608,17,B64B0A5F39D16EFE651F58ACE99798F9,d0df033ec32bae3d244d2d9427cd7e55,중앙신시장,시장,2224
47170,경상북도 안동시,202601-202608,18,D030C20221D69EB701D890D32EFC687C,7fe09cba97ce77d62073096aaa7445fa,안동시농산물도매시장,시장,2096
47170,경상북도 안동시,202601-202608,19,21CFD32801ECADC7D9651270A780F2E5,f951b67e9c846f89d465ef99dd0696fb,안동레이크GC,육상레저스포츠,2016
47170,경상북도 안동시,202601-202608,20,0762750146B73A3094BB0F6170FA8A32,9d8b328dc999c1372195928a387b78b2,리첼호텔,호텔,1784
47170,경상북도 안동시,202601-202608,21,041858CAF2C91C84AA7C2531564C6126,2fffa6dd1b50ced2b3d67b862bf2f61d,만휴정,역사유적지,1636
47170,경상북도 안동시,202601-202608,22,D6EE0409BA9853CED336EC7A0BF2CF6C,9bc463f60f7112293fb223386e35efdc,안동문화예술의전당,공연시설,1391
47170,경상북도 안동시,202601-202608,23,39DAE12F127F43A034E2FE4B6D0401D9,f571b732c7e31d518e203c929b4a54c9,유교랜드,기타레저스포츠,1351
47170,경상북도 안동시,202601-202608,24,651A7A930C4D44B869E19E3D80F69BDF,53ddf361b2d95cc8a2bf051e334a13d2,웅부공원,도시공원,1327
47170,경상북도 안동시,202601-202608,25,6310DADF60639AA141D64A4BC1D13D75,0de8edc3ca45858f2377e6d9ab5d2ee2,플레이방월드,테마공원,1230
47170,경상북도 안동시,202601-202608,26,F3E24262E4EDB871CE4D02D424AE0FE5,80faee9f68baddaef1d68952386b9e83,안동강변구장,레저스포츠시설,1179
47170,경상북도 안동시,202601-202608,26,FEE534B48DEDDFBA6B5B6EA79E65620D,be55627a8cd1c85ec5f6c1031d115c86,롯데시네마프리미엄안동,공연시설,1179
47170,경상북도 안동시,202601-202608,28,89A15DEA964CB31C13C796EE6D8DE3BB,7271e336931c9bb7a70edf611ef61fdc,선성수상길,기타레저스포츠,1130
47170,경상북도 안동시,202601-202608,29,59F9309191A22721BED05E149064B1FC,07c7c610c3fb254aa77edf8ab83a1db9,연미사,종교성지,1110
47170,경상북도 안동시,202601-202608,30,9C8CCE57E3CBA93E49B18E092BF85DF5,976e0f7abaa5c9f9cd2dec1287213a7b,낙동강12경(부용경)부용대,역사유적지,1109
47170,경상북도 안동시,202601-202608,31,88271C9C0B43343507FB440E1A3C9764,2363b066af52f4e64d8cc421ee5766ba,안동호반자연휴양림,자연공원,1065
47170,경상북도 안동시,202601-202608,32,D094D18F9A5088A216C79A54DED5B8BC,e57f718840a576abbb40a7d046c4e3b0,용상시장,시장,1016
47170,경상북도 안동시,202601-202608,33,9B9BCD953ACE7EFF1C9B3BA7794F4A16,27b23309117dfad9ad551edeb8ee6f47,안동수산물도매시장,시장,906
47170,경상북도 안동시,202601-202608,34,AE6079ECE3439EDD65B512DF94CDFF93,9661a5d77585c9ffe04a16455dc311cc,한국문화테마파크,테마공원,894
47170,경상북도 안동시,202601-202608,35,1F6ACAC13F6185B6D95EAB5FCE81D379,41f64b3abf2a83bf9879c1afe680a205,금소생태공원,도시공원,889
47170,경상북도 안동시,202601-202608,36,C8D478CB42DCCB85A8BCCD16CFBD7D32,aeb4863a1843affc070eef80dcad8c1d,브라운도트호텔태화점,호텔,849
47170,경상북도 안동시,202601-202608,37,B6D3AD3CBCBBE77BB647E1A977CD8287,59c1c132657789d703978187b892a304,CM파크호텔,호텔,848
47170,경상북도 안동시,202601-202608,38,381B7BE440E9004AC7DFC92E7064D437,8775ace211034aa2f9386a809ef3856a,영모각,전시시설,843
