조회_시도,조회기간,SIDO_CD,SIDO_NM,NIGHT_SRCH_CNT,SRCH_CNT
52,2026_1-8,28,인천광역시,2151468,11616018
52,2026_1-8,26,부산광역시,1694938,9450082
52,2026_1-8,44,충청남도,1228970,9348006
52,2026_1-8,12,전남광주통합특별시,1053983,7241479
52,2026_1-8,48,경상남도,991375,7988143
52,2026_1-8,47,경상북도,991055,7469634
52,2026_1-8,27,대구광역시,828771,4434136
52,2026_1-8,43,충청북도,736613,5290856
52,2026_1-8,30,대전광역시,652789,3920565
52,2026_1-8,50,제주특별자치도,626651,4231087
52,2026_1-8,52,전북특별자치도,561834,4446708
52,2026_1-8,31,울산광역시,319034,1951596
52,2026_1-8,36,세종특별자치시,138327,920040
52,2025,41,경기도,15696319,95608719
52,2025,11,서울특별시,10265812,43069330
52,2025,28,인천광역시,3572672,19160176
52,2025,51,강원특별자치도,3205491,23589091
52,2025,26,부산광역시,2888977,15897490
52,2025,44,충청남도,1829165,14184584
52,2025,12,전남광주통합특별시,1754717,12174524
52,2025,48,경상남도,1584438,13303597
52,2025,47,경상북도,1523973,12205835
52,2025,27,대구광역시,1478346,7722087
52,2025,30,대전광역시,1132017,6622306
52,2025,50,제주특별자치도,1085588,7232970
52,2025,43,충청북도,1085231,8578672
52,2025,52,전북특별자치도,886533,7222361
52,2025,31,울산광역시,576425,3452657
52,2025,36,세종특별자치시,263676,1646841
43,2024_1-8,41,경기도,12528104,67781160
43,2024_1-8,11,서울특별시,7429793,29434396
43,2024_1-8,28,인천광역시,2689292,13246163
43,2024_1-8,51,강원특별자치도,2319537,15797225
43,2024_1-8,26,부산광역시,2160866,10880976
43,2024_1-8,44,충청남도,1618474,10441214
43,2024_1-8,12,전남광주통합특별시,1547848,9137800
43,2024_1-8,48,경상남도,1375026,9438926
43,2024_1-8,47,경상북도,1302436,8550724
43,2024_1-8,27,대구광역시,1211193,5470002
43,2024_1-8,43,충청북도,997576,6354860
43,2024_1-8,50,제주특별자치도,930566,5555679
