조회_시도,조회기간,SIDO_CD,SIDO_NM,LRFRN_DIV_CD,LRFRN_DIV_NM,NIGHT_CNSM_AMT,CNSM_AMT,RATE_NUM
47,2024_1-8,51,강원특별자치도,3,내국인,19242130001021.742,63012024358244.27,30.54
47,2024_1-8,12,전남광주통합특별시,3,내국인,19146601453227.824,65223165717136.09,29.36
47,2026_1-8,36,세종특별자치시,0,현지인,2084251724.0000002,7518181758.399997,27.72
47,2026_1-8,28,인천광역시,0,현지인,395283835801.4926,1458839161729.4658,27.1
47,2026_1-8,44,충청남도,0,현지인,404288660143.59503,1577323486746.5232,25.63
47,2026_1-8,27,대구광역시,0,현지인,352381775996.7016,1390944210842.294,25.33
47,2026_1-8,52,전북특별자치도,0,현지인,234577109190.40076,941795460382.3873,24.91
47,2026_1-8,41,경기도,0,현지인,16352135242683.695,66075846029082.23,24.75
47,2026_1-8,11,서울특별시,0,현지인,11943279405205.271,48448874835380.16,24.65
47,2026_1-8,31,울산광역시,0,현지인,80262691786.00002,331530714733.4999,24.21
47,2026_1-8,43,충청북도,0,현지인,440574216833.9998,1855918535988.0054,23.74
47,2026_1-8,48,경상남도,0,현지인,1014981505803.3035,4431130363584.905,22.91
47,2026_1-8,30,대전광역시,0,현지인,250042265846.50024,1103410767706.503,22.66
47,2026_1-8,26,부산광역시,0,현지인,1633840042068.8347,7589039629649.539,21.53
47,2026_1-8,47,경상북도,0,현지인,517345296472.7755,2431108907400.047,21.28
47,2026_1-8,51,강원특별자치도,0,현지인,512453401946.99475,2496509146357.2046,20.53
47,2026_1-8,50,제주특별자치도,0,현지인,34238383129.79999,170762671668.59985,20.05
47,2026_1-8,12,전남광주통합특별시,0,현지인,579821610631.7062,2970724390745.4565,19.52
47,2026_1-8,11,서울특별시,1,외지인,288799492053354.2,767785395499433.4,37.61
47,2026_1-8,31,울산광역시,1,외지인,2900589063394.4907,8415518449684.004,34.47
47,2026_1-8,26,부산광역시,1,외지인,36386362480715.24,108635210664650.42,33.49
47,2026_1-8,28,인천광역시,1,외지인,29031526549496.73,87398420741028.45,33.22
47,2026_1-8,27,대구광역시,1,외지인,13121450627032.203,40445637219573.99,32.44
