조회_SGG_CD,조회_지역,조회기간,SIDO_CD,SGG_CD,SIDO_NM,SGG_NM,SIMIL_SCOR
47170,경상북도 안동시,202601-202608,44,44200,충청남도,아산시,0.9950320493986975
47170,경상북도 안동시,202601-202608,28,28290,인천광역시,검단구,0.9937947093086135
47170,경상북도 안동시,202601-202608,44,44210,충청남도,서산시,0.9937693749417322
