조회_시도,조회기간,SIDO_CD,SGG_CD,ADONG_CD,SIDO_NM,SGG_NM,ADONG_NM,LRFRN_DIV_CD,LRFRN_DIV_NM,NIGHT_CNSM_AMT,CNSM_AMT,RATE_NUM,RNK
44,2026_1-8,44,44800,44800380,충청남도,홍성군,갈산면,2,외국인,9801292.0,16192538.0,60.53,4
44,2026_1-8,44,44200,44200400,충청남도,아산시,도고면,2,외국인,51649964.0,85529827.0,60.39,5
44,2026_1-8,44,44133,44133510,충청남도,천안시 서북구,성정1동,2,외국인,54108042.0,95900805.0,56.42,6
44,2026_1-8,44,44150,44150570,충청남도,공주시,신관동,2,외국인,132492977.0,252338823.0,52.51,7
44,2026_1-8,44,44133,44133530,충청남도,천안시 서북구,쌍용1동,2,외국인,624142480.0,1194615538.0,52.25,8
44,2026_1-8,44,44133,44133590,충청남도,천안시 서북구,부성2동,2,외국인,578439374.0,1124681916.0,51.43,9
44,2026_1-8,44,44760,44760430,충청남도,부여군,세도면,2,외국인,493958.0,968016.0,51.03,10
44,2026_1-8,44,44210,44210510,충청남도,서산시,부춘동,3,내국인,9033573296.0,15416676136.0,58.6,1
44,2026_1-8,44,44133,44133520,충청남도,천안시 서북구,성정2동,3,내국인,27510856496.0,52470366370.0,52.43,2
44,2026_1-8,44,44200,44200580,충청남도,아산시,온양2동,3,내국인,6705341600.0,13250557861.0,50.6,3
44,2026_1-8,44,44133,44133567,충청남도,천안시 서북구,불당2동,3,내국인,26324513174.0,52131362124.0,50.5,4
44,2026_1-8,44,44133,44133510,충청남도,천안시 서북구,성정1동,3,내국인,9690176638.0,20052794288.0,48.32,5
44,2026_1-8,44,44133,44133590,충청남도,천안시 서북구,부성2동,3,내국인,38417781747.0,80072194985.0,47.98,6
44,2026_1-8,44,44180,44180535,충청남도,보령시,대천3동,3,내국인,6835153192.0,14431968368.0,47.36,7
44,2026_1-8,44,44131,44131520,충청남도,천안시 동남구,문성동,3,내국인,1730163388.0,3668714427.0,47.16,8
44,2026_1-8,44,44270,44270510,충청남도,당진시,당진1동,3,내국인,16552763980.0,35504160374.0,46.62,9
44,2026_1-8,44,44150,44150570,충청남도,공주시,신관동,3,내국인,12279239775.0,26918591815.0,45.62,10
44,2025,44,44760,44760440,충청남도,부여군,석성면,0,현지인,159544.0,159544.0,100.0,1
44,2025,44,44230,44230390,충청남도,논산시,양촌면,0,현지인,1382712.0,1507855.0,91.7,2
44,2025,44,44710,44710310,충청남도,금산군,금성면,0,현지인,3417785.0,3999643.0,85.45,3
44,2025,44,44710,44710380,충청남도,금산군,복수면,0,현지인,13107938.0,15994255.0,81.95,4
44,2025,44,44710,44710350,충청남도,금산군,남일면,0,현지인,469476.0,585362.0,80.2,5
44,2025,44,44800,44800320,충청남도,홍성군,금마면,0,현지인,2193001.0,3032850.0,72.31,6
44,2025,44,44790,44790250,충청남도,청양군,청양읍,0,현지인,84599627.0,120877520.0,69.99,7
44,2025,44,44270,44270370,충청남도,당진시,우강면,0,현지인,15661574.0,22727252.0,68.91,8
44,2025,44,44790,44790340,충청남도,청양군,목면,0,현지인,4338309.0,6619929.0,65.53,9
44,2025,44,44180,44180310,충청남도,보령시,주포면,0,현지인,673259.0,1036275.0,64.97,10
44,2025,44,44210,44210510,충청남도,서산시,부춘동,1,외지인,13205550355.0,22252713461.0,59.34,1
44,2025,44,44133,44133567,충청남도,천안시 서북구,불당2동,1,외지인,38374301065.0,70966345414.0,54.07,2
44,2025,44,44200,44200580,충청남도,아산시,온양2동,1,외지인,9689807794.0,17957064856.0,53.96,3
44,2025,44,44133,44133520,충청남도,천안시 서북구,성정2동,1,외지인,38651792945.0,77118667309.0,50.12,4
44,2025,44,44133,44133590,충청남도,천안시 서북구,부성2동,1,외지인,57145268759.0,114894519904.0,49.74,5
44,2025,44,44133,44133510,충청남도,천안시 서북구,성정1동,1,외지인,13388054716.0,27036573394.0,49.52,6
44,2025,44,44270,44270510,충청남도,당진시,당진1동,1,외지인,22489638441.0,45765250415.0,49.14,7
44,2025,44,44180,44180535,충청남도,보령시,대천3동,1,외지인,9272583616.0,19321761106.0,47.99,8
44,2025,44,44131,44131540,충청남도,천안시 동남구,원성2동,1,외지인,3455376504.0,7263793842.0,47.57,9
44,2025,44,44150,44150570,충청남도,공주시,신관동,1,외지인,17981898546.0,38080853306.0,47.22,10
44,2025,44,44790,44790350,충청남도,청양군,청남면,2,외국인,263000.0,273000.0,96.34,1
44,2025,44,44800,44800380,충청남도,홍성군,갈산면,2,외국인,12585497.0,19356949.0,65.02,2
44,2025,44,44133,44133590,충청남도,천안시 서북구,부성2동,2,외국인,956247930.0,1724428691.0,55.45,3
44,2025,44,44133,44133510,충청남도,천안시 서북구,성정1동,2,외국인,72778478.0,131869031.0,55.19,4
44,2025,44,44210,44210250,충청남도,서산시,대산읍,2,외국인,138089648.0,264937589.0,52.12,5
44,2025,44,44270,44270390,충청남도,당진시,송산면,2,외국인,28125199.0,55093862.0,51.05,6
