조회_SGG_CD,조회_지역,조회기간,SIDO_CD,SIMIL_SGG_CD,SIDO_NM,SGG_NM,SIMIL_SCOR
47170,경상북도 안동시,202601-202608,48,48127,경상남도,창원시 마산회원구,0.9333333333333332
47170,경상북도 안동시,202601-202608,12,12110,전남광주통합특별시,목포시,0.93125
47170,경상북도 안동시,202601-202608,51,51170,강원특별자치도,동해시,0.9266666666666665
