조회_SGG_CD,조회_지역,조회기간,RK,ITS_BRO_ID,MD5_POI_ID,ITS_BRO_NM,KTO_CATE_NAME_B,SRCH_CNT
47170,경상북도 안동시,202601-202608,75,BFFC1244B93E3F28ABDDE9FCF159A8D8,968fa23c5353d2998eca33d0c994891b,이재명대통령생가터,역사유적지,974
47170,경상북도 안동시,202601-202608,76,1CD2E4728560911AC3A876D7C154DA77,bc62f7c10d9a6f1dda5613ffc3603452,호텔누리다,모텔,967
47170,경상북도 안동시,202601-202608,77,4C24D06407BAD6D6DA07E9CEA45BB3CC,e21b59454204c650a5b874e36cc3a097,스위트호텔,모텔,936
47170,경상북도 안동시,202601-202608,78,72D93649F2C5F606DBCA1E663A339604,85ba878d9c406a4cb9aadae310b93a44,웨이블리,수상레저스포츠,929
47170,경상북도 안동시,202601-202608,79,A782B110F359861EAE99B07B131FA069,292ef57a119d835b89f5bb7e2132136f,모텔캐슬,모텔,910
47170,경상북도 안동시,202601-202608,80,6EB7DBB727A1FA77828B7FAE5491F96B,c353ade81d364318beec396fd3d62696,해적선펜션,펜션/민박,876
47170,경상북도 안동시,202601-202608,81,7B9AC4FF77045B78CD021AC920FDEACB,d320ecc048ed716f9afa9b4a5fe39618,월영호텔바이뉴시즈,호텔,869
47170,경상북도 안동시,202601-202608,82,40339956D450C3BC4B4C5232C8B5039A,a9351d889897deeda87c75ee538b4f63,안동이천동마애여래입상,역사유적지,860
47170,경상북도 안동시,202601-202608,83,5FAFDB0F5BA4C855163D30F0A5E285B3,f77b989d3ce2ae5ef1bcbf426273edad,샾호텔,모텔,857
47170,경상북도 안동시,202601-202608,84,C5F04D41459139FBB257864A74135B16,8a62597f9bd8606ab7a2843184817fc0,석동선착장,교통시설,854
47170,경상북도 안동시,202601-202608,85,C81FBF337CE849C5487A26611E2694ED,9e0de751c368f449252c6b538a2d813b,에이치에비뉴호텔안동문화의거리점,호텔,842
47170,경상북도 안동시,202601-202608,86,526A2EE6968CD1301AC45F0F95299A98,3ace4ac6ca51d60f4ead7282447a0aa4,호텔얌안동문화의거리점,모텔,825
47170,경상북도 안동시,202601-202608,87,CDB4F67CE29624774D379211A3871835,58eb0ed4ac387171b312ef5657bc9cba,하회세계탈박물관,전시시설,818
47170,경상북도 안동시,202601-202608,88,BA7D4D471D1E4080B952FB9A7A6B14DC,7226a197df30c766bfadb95f35ceb9e2,로미오모텔,모텔,817
47170,경상북도 안동시,202601-202608,89,58DBD6FABB2B62B8B28AE0B2AB25FE8E,2c3d34540cd34e6bbebfcc2d698de94a,호텔얌안동강남점,모텔,796
47170,경상북도 안동시,202601-202608,90,841A843D38D2935BD114E969345BBA20,966ebee217be9314b408ffd2e11ca4ea,안동드림베이스볼파크,레저스포츠시설,790
47170,경상북도 안동시,202601-202608,91,919C54136E8D47334D5B85B98652EEDD,81d6a796c32b1c091b39b0b56e45663c,선유스테이,호스텔,782
47170,경상북도 안동시,202601-202608,92,D4B69486206D5E42BB96C206BAEC4E1A,edbde82c4223ad103ab5e8765fd943d9,한국국학진흥원KSI연수원,육상레저스포츠,755
47170,경상북도 안동시,202601-202608,93,22686B8E6E874219C457F79BAA011A6B,f7991b1edcd9fa4ac955ae11e5932edb,도산원탕,웰니스관광,727
47170,경상북도 안동시,202601-202608,94,86FB2F880BDA0DE5C6ABD95D9F358ED3,f9ba3cdea2ad38b74ad43e45bfe75786,안동포타운,전시시설,717
47170,경상북도 안동시,202601-202608,95,1B9262BCC87BEB20D709D34B3334A3F2,387ae0c7a8131e26b41e5e248f61a46b,임강사,종교성지,711
47170,경상북도 안동시,202601-202608,96,7E2E06B06FC53133DF934061580A35EB,e4aa2342d2bae519342b36caaf9bf79d,안동퇴계예던길1코스,기타레저스포츠,709
47170,경상북도 안동시,202601-202608,97,701114F95AD523A9F065043C9171B60E,9e289e520a8ebd282ee668482aa07587,안동시티호텔,호텔,701
47170,경상북도 안동시,202601-202608,98,1C95EAA3857738F277886E7A69EC712A,7295c162619011d409535c8d835c9527,권정생동화나라,기타문화관광지,698
47170,경상북도 안동시,202601-202608,99,BACA9802999D048D75F5A6F1E05939CA,145cff933bdcbe21d1a974706ba32882,송강미술관,전시시설,683
47170,경상북도 안동시,202601-202608,100,D9F3FF4C047719981A3362D188EC5D26,70740e4b09a432756083275b955d67ab,안동호텔,호텔,670
