region,visits,spend,months,spend_per_visit,visits_26,spend_26,months_26,spend_per_visit_26,visit_change,spend_change,per_visit_change
함양군,4729314.0,52195787000.0,8,11036.650770069402,5516530.0,47272471000.0,8,8569.24026516669,16.645458516816603,-9.432401124634826,-22.356515181164827
인제군,5809011.0,74322722000.0,8,12794.384792867495,8035452.0,80518629000.0,8,10020.42311994397,38.32736760181725,8.3364909589829,-21.681086803563467
진도군,3485930.0,35759408000.0,8,10258.21172542191,3492625.0,29365621000.0,8,8407.894062488816,0.19205778658779593,-17.880013561745766,-18.037429061321042
제주시,39557362.0,1322540116000.0,8,33433.476074567356,39206919.0,1131135825000.0,8,28850.41349461813,-0.8859109462354908,-14.47247525306824,-13.708005023849534
울릉군,1192872.0,26602548000.0,8,22301.259481319034,952200.0,18675033000.0,8,19612.511027095148,-20.175844516427578,-29.799833459561842,-12.056487018036599
홍천군,13435801.0,307643355000.0,8,22897.28427802704,15132799.0,312885010000.0,8,20675.950959237613,12.630419280547557,1.7038089446137938,-9.701295978235681
음성군,11779580.0,320436534000.0,8,27202.712999954158,12805374.0,317688872000.0,8,24809.02720998231,8.708239173213306,-0.857474634899158,-8.799437725111769
옥천군,7190702.0,98373728000.0,8,13680.684862201215,8311604.0,104328099000.0,8,12552.101736319488,15.588213779405692,6.052806090666807,-8.249463658065281
삼척시,8262615.0,123920076000.0,8,14997.682452831215,8192103.0,112888552000.0,8,13780.167558928397,-0.8533860043097752,-8.902128174937529,-8.118020219003775
순창군,3039032.0,26202250000.0,8,8621.906580779669,3142228.0,25136704000.0,8,7999.643565011832,3.3956865212343867,-4.066620232995255,-7.21723217408795
군위군,5313364.0,161659146000.0,8,30425.008713876934,4983535.0,140885887000.0,8,28270.27140373249,-6.207536317858143,-12.850036335092351,-7.0821255316901865
평택시,31582863.0,752249188000.0,8,23818.27094016144,37993040.0,843247316000.0,8,22194.78399201538,20.296377184044402,12.09680641090969,-6.816141071804682
광명시,26394523.0,373390372000.0,8,14146.509561851146,30498909.0,408996830000.0,8,13410.211821019566,15.550142732263051,9.535987178587458,-5.204801492639232
익산시,15896907.0,228105003000.0,8,14349.017893858221,17646074.0,240392648000.0,8,13623.010308128596,11.003190746476665,5.386837131318867,-5.059632590188468
계룡시,3381355.0,38628605000.0,8,11424.001620652076,3442408.0,37363626000.0,8,10853.921441037784,1.805577941387404,-3.2747208965998142,-4.990196942757008
무안군,10315484.0,159150526000.0,8,15428.313979256814,11200698.0,164233315000.0,8,14662.775034198761,8.581410237270504,3.193699152461482,-4.961909292793177
충주시,20301985.0,375928960000.0,8,18516.857341782095,20089071.0,357536376000.0,8,17797.55649228379,-1.0487348897164517,-4.892569064112539,-3.884573047259199
상주시,8940339.0,105164317000.0,8,11762.900377714985,9297281.0,105642286000.0,8,11362.707656141618,3.9924884280115203,0.45449731775464297,-3.4021602557438912
거제시,15143059.0,174769662000.0,8,11541.23892669242,15429362.0,172089998000.0,8,11153.409842869718,1.89065498589156,-1.533254667506312,-3.360376527044562
동두천시,6688872.0,81517098000.0,8,12186.972332554727,6713602.0,79217399000.0,8,11799.537565676368,0.36971854148202254,-2.821124716682133,-3.179089574556726
서천군,7005439.0,70974586000.0,8,10131.354508975097,6991106.0,68582607000.0,8,9809.979565465035,-0.2045981700789956,-3.370190845495036,-3.1720826985706996
양산시,23433788.0,363066917000.0,8,15493.308934944705,24808015.0,372895478000.0,8,15031.250102033557,5.864297312922684,2.7070935245802064,-2.9823121377834827
안동시,11100086.0,172849081000.0,8,15571.868632369155,11726312.0,177466240000.0,8,15134.01997149658,5.641631965734328,2.6712083010727694,-2.81179267054964
함평군,3843215.0,90634778000.0,8,23583.06209774889,3949343.0,90628729000.0,8,22947.79891237606,2.7614380147870987,-0.006674038524157044,-2.693726466646884
순천시,16920457.0,263137281000.0,8,15551.428723231293,18379222.0,278302761000.0,8,15142.249274751674,8.621309696304301,5.763333854620156,-2.6311373428241525
서귀포시,29438105.0,709330188000.0,8,24095.647053368415,29571424.0,694082508000.0,8,23471.39278784816,0.4528790151404172,-2.149588479096287,-2.590734600891287
영월군,4842164.0,68527068000.0,8,14152.157589044898,5571271.0,76890095000.0,8,13801.176607635853,15.057461911657688,12.203976098904445,-2.480052806087585
고창군,5812291.0,80201986000.0,8,13798.687299035784,6246870.0,84320988000.0,8,13498.117937463081,7.476896803687216,5.135785540273274,-2.1782460538380843
문경시,6999119.0,139175861000.0,8,19884.7684972923,8184656.0,159242185000.0,8,19456.18545238798,16.93837467258379,14.417962896597425,-2.1553333394989216
세종특별자치시,20890638.0,316803266000.0,8,15164.843984180856,22638466.0,336304910000.0,8,14855.463705005453,8.36656113614147,6.155758507868403,-2.04011514723218
고령군,4074740.0,40182477000.0,8,9861.35974319834,4172886.0,40333824000.0,8,9665.690363935175,2.4086444779298777,0.37664925435034746,-1.9842028316442217
진천군,8606038.0,206749543000.0,8,24023.777608232733,9417565.0,222423029000.0,8,23617.891567512408,9.429739910513991,7.580904785845166,-1.6895179739810362
의정부시,27963671.0,534218714000.0,8,19104.026577912464,29950039.0,562819022000.0,8,18791.929519691108,7.103387820576201,5.3536701823590604,-1.6336716081739255
증평군,3931643.0,82688886000.0,8,21031.63639221567,4089954.0,84679133000.0,8,20704.17735749595,4.026586340621474,2.40690992015542,-1.5569831496369924
영광군,4638758.0,50201461000.0,8,10822.177186220966,4648001.0,49563089000.0,8,10663.312895156434,0.1992559215203693,-1.271620361805803,-1.4679513034290492
진주시,14685263.0,218946064000.0,8,14909.236831509248,15293406.0,224850024000.0,8,14702.416453208658,4.141178813072677,2.696536257441018,-1.387196277300362
오산시,19820492.0,337348689000.0,8,17020.19753091901,21615308.0,362805855000.0,8,16784.672001897914,9.05535543719096,7.5462472006227355,-1.3838002090941548
보성군,4667080.0,60866081000.0,8,13041.576531792898,4790504.0,61637720000.0,8,12866.646181696122,2.64456576703207,1.2677652106433568,-1.3413282487000688
성주군,4996993.0,131542547000.0,8,26324.340858592357,5165392.0,134263479000.0,8,25992.892504576612,3.37000672204264,2.0684805502511727,-1.2590945991628133
가평군,17835508.0,318761491000.0,8,17872.296712827017,17548496.0,309694967000.0,8,17647.94926015312,-1.609216849892925,-2.8442971488045865,-1.2552804839731757
구미시,17611986.0,327298078000.0,8,18583.8256968862,17979732.0,330059303000.0,8,18357.29826228778,2.0880439037369136,0.8436422898884244,-1.2189494149010272
장수군,1775582.0,23982893000.0,8,13507.060220254541,1767452.0,23613185000.0,8,13360.014868862068,-0.45787803660997106,-1.5415488031406355,-1.088655480871925
옹진군,4177962.0,37071973000.0,8,8873.219287298449,4835439.0,42526704000.0,8,8794.796915026744,15.736787457616884,14.713894510011638,-0.8838096944585039
파주시,33957321.0,811770752000.0,8,23905.618231779827,35947133.0,852734706000.0,8,23721.91145257676,5.85974376482763,5.046246603376026,-0.7684669663085564
이천시,23501886.0,588338989000.0,8,25033.692572587577,25305472.0,629401244000.0,8,24872.14006520013,7.674218145726686,6.979353020576373,-0.6453403025503013
강화군,11030705.0,148218494000.0,8,13436.901267870006,11592484.0,154798862000.0,8,13353.381553082152,5.092865777844668,4.4396403056153,-0.6215697587029556
평창군,11732273.0,221439205000.0,8,18874.365180557936,11816839.0,222505159000.0,8,18829.49907331394,0.7207980925776347,0.4813754637531309,-0.2377092252629165
김천시,9678449.0,171565208000.0,8,17726.51878415643,10343904.0,183217079000.0,8,17712.56568119735,6.87563678849783,6.791511598318922,-0.0787131592445034
홍성군,7992051.0,125250700000.0,8,15671.90950107801,8845587.0,138565275000.0,8,15664.904432006604,10.679811727928158,10.63033979051613,-0.044698248614327696
곡성군,3664770.0,54503942000.0,8,14872.404543804932,3659904.0,54430115000.0,8,14872.00620562725,-0.13277777322997508,-0.13545258799813054,-0.002678371049602557
서산시,11943236.0,212164029000.0,8,17764.36712797101,12086822.0,215253776000.0,8,17808.963845086822,1.202236981668947,1.4563010584607738,0.2510459100205864
포천시,18073959.0,452029762000.0,8,25010.002623110962,19373839.0,485984523000.0,8,25084.575287324315,7.192004806473218,7.511620661827134,0.2981713570251454
시흥시,35789519.0,824223899000.0,8,23029.756253499803,37762705.0,872753914000.0,8,23111.53064908883,5.5133068427100085,5.887965037034193,0.3550814636893884
하남시,36458146.0,903009135000.0,8,24768.377827001954,39366559.0,981530430000.0,8,24933.101976223017,7.97740236160116,8.69551502377659,0.6650582867057331
태백시,3695132.0,63529802000.0,8,17192.836954133167,3672550.0,63628391000.0,8,17325.39815659419,-0.6111283710568349,0.15518543564798648,0.7710257638961382
영주시,5916900.0,74743803000.0,8,12632.25726309385,6115623.0,77902821000.0,8,12738.329520966221,3.358566141053587,4.226461423163075,0.8396936166133129
아산시,25309609.0,462104745000.0,8,18258.07522352479,27943423.0,514957566000.0,8,18428.578560328846,10.406379648140751,11.437411446619095,0.9338516503884842
김포시,33161026.0,858213117000.0,8,25880.173822124805,35067268.0,916387364000.0,8,26132.271381962233,5.748440955958367,6.778531561409351,0.9740953116084139
완도군,4232128.0,31471170000.0,8,7436.251928108035,4527207.0,34016327000.0,8,7513.755611351547,6.972355278479281,8.087265265320621,1.0422412257250047
강진군,3876940.0,33497745000.0,8,8640.253653654687,3983895.0,34817993000.0,8,8739.686412417997,2.7587478784814934,3.941304108679544,1.1508083298139349
거창군,4237746.0,47079016000.0,8,11109.447333558925,4317852.0,48608049000.0,8,11257.460654047429,1.8902973420304114,3.2478015258432746,1.3323193858743254
논산시,11377260.0,181011316000.0,8,15909.92172104707,11667922.0,188531236000.0,8,16158.081618989225,2.55476274603903,4.154392203855362,1.5597807600389757
원주시,22557703.0,448560860000.0,8,19885.041486715203,23349185.0,473175922000.0,8,20265.200776815123,3.5086994451518416,5.487563493613767,1.9117852500026178
경산시,19480222.0,300075028000.0,8,15404.086668006144,20804626.0,327021843000.0,8,15718.708089248998,6.798711020849768,8.9800258220754,2.0424542397331047
보은군,4992488.0,54232429000.0,8,10862.806079854374,5675079.0,62974191000.0,8,11096.619271731724,13.6723613557008,16.119067799821394,2.1524198274234907
연천군,6106550.0,59428380000.0,8,9731.907541901728,6157046.0,61254660000.0,8,9948.709169949356,0.8269153613742697,3.0730772065467704,2.2277403182692224
안성시,22479630.0,675070799000.0,8,30030.33408468022,24918766.0,765404124000.0,8,30715.972211465047,10.850427698320653,13.38131128376654,2.283151845235709
남원시,7041842.0,109807715000.0,8,15593.606758004511,7114482.0,113544939000.0,8,15959.691654290502,1.0315482795552722,3.4034257064724516,2.347660178733646
광주시,30578816.0,540460752000.0,8,17674.351812705892,31393177.0,570998103000.0,8,18188.60521826128,2.6631541260459635,5.65024396073075,2.909602632135555
화순군,8160155.0,96305711000.0,8,11801.946286559507,8762630.0,106864840000.0,8,12195.521207673952,7.383131815510868,10.964177399614439,3.3348306419820117
단양군,6337614.0,92920393000.0,8,14661.731213040113,6138506.0,93138200000.0,8,15172.779826231334,-3.1416870765559435,0.23440172062121345,3.4855952940720636
구리시,29816698.0,399233767000.0,8,13389.603603993977,31948157.0,444043272000.0,8,13898.869721968626,7.1485413978435774,11.223876511427445,3.8034443217029867
횡성군,7553340.0,167457505000.0,8,22169.994333632538,7629459.0,176124782000.0,8,23084.8323583625,1.0077528616479592,5.175806841263997,4.126469366490215
광양시,9672622.0,192435865000.0,8,19894.901816694583,9924852.0,205714675000.0,8,20727.22847655562,2.60766935790524,6.900382109125025,4.183617830989261
청송군,3005144.0,33630711000.0,8,11191.04808288721,3059023.0,35683800000.0,8,11665.09699338645,1.7928924537393254,6.1048040286748595,4.235965273209152
달성군,20141519.0,242775955000.0,8,12053.50773196401,20827238.0,262153799000.0,8,12587.065025136795,3.404504893598137,7.981780568013841,4.426572787254912
남양주시,46604629.0,859512785000.0,8,18442.64836868458,48290063.0,930302135000.0,8,19264.8772274329,3.616451919400543,8.235985692754987,4.458301445168011
여주시,15932558.0,678408679000.0,8,42580.02255507245,16084376.0,715757669000.0,8,44500.182599561216,0.9528790041122059,5.5053821031673555,4.509532708690456
태안군,11485083.0,173464168000.0,8,15103.43181673132,12187572.0,192442741000.0,8,15790.080337576672,6.116533942331981,10.940918357271334,4.54630794628208
김해시,29261007.0,579877992000.0,8,19817.431163595975,31838927.0,660877689000.0,8,20756.908327972233,8.8100864061172,13.968403374066995,4.740660666969032
장흥군,3572722.0,38515277000.0,8,10780.373339991189,3653712.0,41268471000.0,8,11294.943608034788,2.2668990198509764,7.148316757529738,4.77321380081277
예산군,9821603.0,164937823000.0,8,16793.37100064012,10981851.0,193394931000.0,8,17610.41294404741,11.813224378953201,17.253233662481414,4.865264653392987
동해시,7855585.0,133794029000.0,8,17031.707886809192,8882248.0,158676929000.0,8,17864.501081257808,13.069211268161451,18.59791515808229,4.889663444108283
금산군,6566030.0,90432913000.0,8,13772.844930650637,6653391.0,96141906000.0,8,14450.06102903016,1.3304995560483368,6.312959309405408,4.9170385769204294
제천시,10339663.0,225275590000.0,8,21787.517639598118,10492719.0,240160197000.0,8,22888.27109541388,1.4802803534312403,6.6072879889028435,5.052220606422719
화천군,2950449.0,26200743000.0,8,8880.256191515258,2899574.0,27062125000.0,8,9333.13824720459,-1.7243138247771794,3.2876243242415004,5.099876016212712
청양군,3078848.0,24418370000.0,8,7931.0086110129505,3406693.0,28398885000.0,8,8336.203174163331,10.6483009229426,16.30131331452509,5.108991592667422
춘천시,20140669.0,385168802000.0,8,19123.932874325077,19743292.0,396965008000.0,8,20106.323099511468,-1.9730079472533912,3.0626068203727375,5.136967545547622
양평군,19455016.0,257765294000.0,8,13249.297456244703,19514451.0,272077362000.0,8,13942.352874800321,0.3054996202521698,5.55236423721186,5.23088428533216
공주시,16191008.0,281144358000.0,8,17364.228218527223,17525443.0,320532433000.0,8,18289.54811584506,8.241827809608893,14.009911235707605,5.3288858316809185
