구역,도로범위,모집단_곳수,모집단_한식,모집단_간이,모집단_카페,모집단_주점,모집단_기타,표본_곳수,표본_한식,표본_간이,표본_카페,표본_주점,표본_기타,골목안내_영업시간,골목안내_URL,모집단출처
찜닭골목,번영길·번영1~4길,52,34,7,6,2,3,30,20,4,3,1,2,08:30~22:00,https://www.tourandong.com/public/sub3/sub1_3.cshtml,소상공인시장진흥공단 상가(상권)정보 2026-06-30
문화의거리,문화광장길,31,8,8,4,8,3,30,8,8,4,7,3,10:00~22:00,https://www.tourandong.com/public/sub3/sub1_3_3.cshtml,소상공인시장진흥공단 상가(상권)정보 2026-06-30
