BASE_DATE,CTNN_NM,C_RATE,NAT_NM,PRE_QTY,QTY,R_LEV,SEX_CD,SRT_NO
202101,아시아,-100.0,캄보디아,166.0,0.0,3,승무원,19
202101,아시아,-90.8,캄보디아,4257.0,390.0,3,전체,19
202101,아시아,-95.2,스리랑카,1076.0,52.0,3,남성,20
202101,아시아,-100.0,스리랑카,76.0,0.0,3,여성,20
202101,아시아,-23.6,스리랑카,225.0,172.0,3,승무원,20
202101,아시아,-83.7,스리랑카,1377.0,224.0,3,전체,20
202101,아시아,-95.3,방글라데시,966.0,45.0,3,남성,21
202101,아시아,-99.2,방글라데시,124.0,1.0,3,여성,21
202101,아시아,-43.5,방글라데시,209.0,118.0,3,승무원,21
202101,아시아,-87.4,방글라데시,1299.0,164.0,3,전체,21
202101,아시아,-86.8,파키스탄,842.0,111.0,3,남성,22
202101,아시아,-66.7,파키스탄,126.0,42.0,3,여성,22
202101,아시아,-50.0,파키스탄,46.0,23.0,3,승무원,22
202101,아시아,-82.6,파키스탄,1014.0,176.0,3,전체,22
202101,아시아,-98.0,이스라엘,564.0,11.0,3,남성,23
202101,아시아,-97.8,이스라엘,223.0,5.0,3,여성,23
202101,아시아,-81.2,이스라엘,16.0,3.0,3,승무원,23
202101,아시아,-97.6,이스라엘,803.0,19.0,3,전체,23
202101,아시아,-94.3,이란,106.0,6.0,3,남성,24
202101,아시아,-72.0,이란,50.0,14.0,3,여성,24
202101,아시아,-85.0,이란,20.0,3.0,3,승무원,24
202101,아시아,-86.9,이란,176.0,23.0,3,전체,24
202101,아시아,-94.6,기타,3237.0,175.0,3,남성,25
202101,아시아,-95.5,기타,1129.0,51.0,3,여성,25
202101,아시아,-88.7,기타,442.0,50.0,3,승무원,25
202101,아시아,-94.3,기타,4808.0,276.0,3,전체,25
202101,아메리카,-93.4,연도대륙,42445.0,2795.0,2,남성,0
202101,아메리카,-93.3,연도대륙,36115.0,2431.0,2,여성,0
202101,아메리카,-0.8,연도대륙,8932.0,8865.0,2,승무원,0
202101,아메리카,-83.9,연도대륙,87492.0,14091.0,2,전체,0
202101,아메리카,-92.8,미국,33394.0,2416.0,3,남성,1
202101,아메리카,-92.6,미국,27487.0,2040.0,3,여성,1
202101,아메리카,18.6,미국,6374.0,7557.0,3,승무원,1
202101,아메리카,-82.1,미국,67255.0,12013.0,3,전체,1
202101,아메리카,-96.0,캐나다,6308.0,251.0,3,남성,2
202101,아메리카,-95.5,캐나다,6070.0,276.0,3,여성,2
202101,아메리카,-32.8,캐나다,1431.0,961.0,3,승무원,2
202101,아메리카,-89.2,캐나다,13809.0,1488.0,3,전체,2
202101,아메리카,-94.1,브라질,776.0,46.0,3,남성,3
202101,아메리카,-93.9,브라질,716.0,44.0,3,여성,3
202101,아메리카,-82.5,브라질,309.0,54.0,3,승무원,3
202101,아메리카,-92.0,브라질,1801.0,144.0,3,전체,3
202101,아메리카,-97.0,멕시코,905.0,27.0,3,남성,4
202101,아메리카,-94.8,멕시코,706.0,37.0,3,여성,4
202101,아메리카,-56.4,멕시코,502.0,219.0,3,승무원,4
202101,아메리카,-86.6,멕시코,2113.0,283.0,3,전체,4
202101,아메리카,-94.8,기타,1062.0,55.0,3,남성,5
202101,아메리카,-97.0,기타,1136.0,34.0,3,여성,5
202101,아메리카,-76.6,기타,316.0,74.0,3,승무원,5
202101,아메리카,-93.5,기타,2514.0,163.0,3,전체,5
202101,유럽,-93.6,연도대륙,35284.0,2241.0,2,남성,0
