업체이용률_1만,c_자연완주율,월영야행_β,체험가격,팝업객단가
0.4722332058040905,0.1435661803790094,-0.022775469886274068,12000,3721.496251044161
0.3965352901233879,0.17248141651695992,0.01037186916046051,20000,2149.416136534133
0.4722332058040905,0.1606823901679686,0.0033568417520131516,8000,6111.439449623881
0.03096723983469186,0.16745521610776032,-0.006932465643190247,5000,9208.354043041478
0.2764675808695338,0.18001271248795322,-0.008408700581428192,15000,8044.38748849249
0.30466658438973576,0.14656506965869828,0.001778510485930703,8000,9308.86605146799
0.3965352901233879,0.1334748411396856,-0.024944926931612196,25000,9357.594394504782
0.30466658438973576,0.15971130151751434,-0.026251352579992622,4000,10124.162225871132
0.07498632668291193,0.17457108003394353,-0.020761648400962764,7000,11700.301792294806
0.07823302695080049,0.14134182693729816,-0.011121527576125313,7000,14929.56671203167
0.06045829535513537,0.1556498262084893,-0.004618704327087316,39000,11700.301792294806
0.2764675808695338,0.1435000287620188,-0.01169058984193221,39000,11700.301792294806
0.16426813223584644,0.17094669515304922,-0.0023619363030841934,5000,6379.779727401703
0.07823302695080049,0.15546239856030397,-0.0018274510878402313,20000,9308.86605146799
0.1589499598856141,0.1374059507366961,-0.007270949255381553,15000,8867.27474861856
0.07823302695080049,0.16008011855872056,-0.003413278948575066,20000,1388.161926428812
0.3965352901233879,0.14326878550057112,-0.0065091926953796805,5000,5961.998200255187
0.030709161363584057,0.1431491432738087,-0.013829485315728913,10000,14088.177761028734
0.1896930846842057,0.15692663506213397,-0.017963087680441442,4000,15674.647469510692
0.4722332058040905,0.17151254314382702,-0.01570969785803816,10000,13439.594459895283
0.07823302695080049,0.16140972143533164,-0.004418706983800352,10000,6379.779727401703
0.030709161363584057,0.16764783166416125,-0.014327587601514872,5000,13439.594459895283
0.06045829535513537,0.1777235177822934,-0.008403951149612772,15000,5961.998200255187
0.0567270438764676,0.15946182392035954,-0.013438392950520817,20000,12990.003729794424
0.07823302695080049,0.163159302813111,-0.004280409151062215,4000,9308.86605146799
0.1896930846842057,0.14095637492414007,-0.004263369746545235,3000,10124.162225871132
0.2764675808695338,0.13661020501981874,-0.005972001711562272,15000,9815.38693042659
0.30466658438973576,0.1430076027284372,-0.004046177655835844,39000,12549.767112704283
0.06045829535513537,0.16457779557692545,0.0019832457169795454,3000,9815.38693042659
0.1589499598856141,0.14722570874554547,-0.004265309434068156,15000,3982.1550627694223
0.030709161363584057,0.14720136236863948,-0.007563132288335882,10000,7818.674849699402
0.030709161363584057,0.1607792330979085,0.0017173207205730089,12000,8044.38748849249
0.07498632668291193,0.17858024159259714,-0.010895356164512546,22000,9357.594394504782
0.30466658438973576,0.1528909085493641,0.002723036601253929,25000,15674.647469510692
0.1589499598856141,0.13642743953012856,-0.008202721838886203,4000,6111.439449623881
0.06045829535513537,0.16546618158532728,0.0006803779918501918,5000,6029.591590125569
0.3965352901233879,0.16091386814099579,-0.01675647312953085,8000,15674.647469510692
0.030709161363584057,0.16329834636821572,-0.00652456745413622,10000,9968.772979815913
0.1589499598856141,0.15015711697923148,-0.009407113247390275,3000,11428.776259500675
0.03096723983469186,0.14677867559198526,-0.010515493632852086,25000,1944.8338863255753
0.4722332058040905,0.16381156021261847,-0.0008193731920820039,15000,1388.161926428812
0.1589499598856141,0.1691934850055549,-0.028296110074340262,10000,8781.38100521925
0.030709161363584057,0.17684557064209358,-0.007194003010271704,12000,6490.025297937499
0.030709161363584057,0.1355434887724658,-0.00575154670915923,3000,2641.9358544440147
0.30466658438973576,0.14918037043817883,-0.013876404140992183,15000,5756.56884800299
0.3198999136092226,0.14122586415613403,-0.0009158789656418358,8000,9362.142291789198
0.030709161363584057,0.15950891176864992,-0.012286543028971562,10000,4635.668443078176
0.030709161363584057,0.16740401221633264,-0.009214753121072887,23000,1388.161926428812
0.3965352901233879,0.14313241370087731,-0.00042189277886484127,25000,4635.668443078176
0.03096723983469186,0.14871891418824015,-0.005077486480362872,6000,2149.416136534133
0.03096723983469186,0.15739849269287576,-0.015482520950603885,12000,8044.38748849249
0.07823302695080049,0.17251346331443002,-0.007555066672799403,25000,12625.18983357999
0.3965352901233879,0.17027758509377153,-0.005289930978414483,6000,7903.372032495086
0.1896930846842057,0.14773198607405047,-0.008425997511641524,5000,8094.365808845958
0.1589499598856141,0.16857095065184183,-0.01076693410199375,8000,13345.696517931832
0.30466658438973576,0.17699013915778714,-0.006142752300073326,5000,14929.56671203167
0.16426813223584644,0.13359853600432448,-0.017514554987906782,10000,6379.779727401703
0.07823302695080049,0.17837000982701434,-0.012783678657154398,4000,8867.27474861856
0.2764675808695338,0.16128923588287541,-0.007258002223377911,25000,3982.1550627694223
0.07498632668291193,0.13607529035373836,-0.012867220862828667,28000,14088.177761028734
0.4722332058040905,0.1649517985565303,-0.008997998788161599,12000,8044.38748849249
0.30466658438973576,0.1525012533768848,0.006073905711135732,10000,14088.177761028734
0.3198999136092226,0.14679711279457514,-0.009386766376619594,15000,12472.89232435155
0.1589499598856141,0.1706209312959424,-0.010266822255546653,15000,8371.635549928305
0.06045829535513537,0.14405955555074929,-0.0028633708543668143,39000,12990.003729794424
0.07823302695080049,0.14785778356478652,-0.01839818189549421,22000,9815.38693042659
0.0567270438764676,0.15336111178485798,-0.0105989159185448,10000,10868.15254697223
0.06045829535513537,0.1590477132904101,-0.005072683677443375,23000,3721.496251044161
0.03096723983469186,0.13837312639644286,-0.00591165687604718,25000,8781.38100521925
0.07823302695080049,0.15476356083512458,-0.012632531186866408,3000,10124.162225871132
0.1589499598856141,0.16763324412210645,-0.0019285448333649128,7000,9921.736099442112
0.07823302695080049,0.14215078714572457,-0.008664405308360813,6000,14088.177761028734
0.03096723983469186,0.14069778484244544,-0.0024188090373495736,23000,8781.38100521925
0.4722332058040905,0.15662772810643072,-0.004076774580049749,12000,15674.647469510692
0.06045829535513537,0.14786882613341998,-0.007225925477265168,12000,14929.56671203167
0.07498632668291193,0.17341701955239885,-0.009698045321756927,20000,8371.635549928305
0.03096723983469186,0.14052045934238355,0.0021910706695313573,39000,13345.696517931832
0.2764675808695338,0.17476587555884726,-0.014677245669140268,23000,1388.161926428812
0.16426813223584644,0.14146933581618548,-0.015122966201020363,10000,10868.15254697223
0.0567270438764676,0.14590492138228342,0.0003737034521414973,12000,8371.635549928305
0.30466658438973576,0.1671498619959797,-0.0003122072413192788,7000,12472.89232435155
0.07498632668291193,0.15950733221365648,-0.008273948120072917,6000,9362.142291789198
0.07498632668291193,0.15997064946214862,-0.007692457802847081,12000,13345.696517931832
0.03096723983469186,0.13765887900954887,-0.019544417268777724,12000,12625.18983357999
0.07498632668291193,0.1594167665317184,-0.005986269860148438,10000,11428.776259500675
0.4722332058040905,0.15015686300970707,-0.0077586095571541905,4000,13439.594459895283
0.3198999136092226,0.16004659812479266,-0.011172410864848588,23000,5852.089204350804
0.1896930846842057,0.13977747589185716,-0.0041608331319964754,10000,3180.534231222965
0.1896930846842057,0.15116398613567214,-0.010806927944540703,6000,15182.209441928107
0.3198999136092226,0.1750956966039732,-0.0013657687801472457,5000,9921.736099442112
0.0567270438764676,0.16913460497946156,-0.001122918476231851,15000,9362.142291789198
0.16426813223584644,0.15042762661164485,-0.012821147825614507,5000,1944.8338863255753
0.16426813223584644,0.1710136639404145,-0.01028997822457522,3000,8781.38100521925
0.30466658438973576,0.1630264034402723,0.0005941737659080346,15000,9208.354043041478
0.3198999136092226,0.14594515358937662,-0.010786864622427835,10000,6490.025297937499
0.30466658438973576,0.15658176128138995,-0.011182173801955499,39000,9362.142291789198
0.030709161363584057,0.1711142129906579,0.0031413366708617596,15000,8298.692961111445
0.3965352901233879,0.17066051087385606,-0.002356633989683183,5000,12990.003729794424
0.1589499598856141,0.17221995496490863,0.004429201340372002,23000,8054.929374637141
0.30466658438973576,0.15683212336295385,-0.014732178604859954,10000,15182.209441928107
0.1589499598856141,0.16439068984561606,-0.004599405017553027,12000,2149.416136534133
0.07823302695080049,0.14419594030553,-0.012380409944867362,15000,5756.56884800299
0.3198999136092226,0.16042834510709025,-0.021111283284294128,23000,2641.9358544440147
0.07498632668291193,0.15850821470625057,-0.01477184162576166,25000,7903.372032495086
0.06045829535513537,0.1486834957443412,-0.015619466185999185,39000,1388.161926428812
0.07498632668291193,0.15641052828166344,-0.008667173196901896,8000,5852.089204350804
0.16426813223584644,0.16726253298879343,-0.015839390667659103,3000,13345.696517931832
0.30466658438973576,0.15482332562460815,-0.0015145983978638422,25000,18495.762853876247
0.3198999136092226,0.14831904959882636,-0.006958172678526361,20000,3721.496251044161
0.4722332058040905,0.14243775643035547,-0.004194710676992443,10000,8054.929374637141
0.4722332058040905,0.18300986172655084,-0.009542282472267277,5000,10588.791757848958
0.06045829535513537,0.16457341829343985,-0.013135968537295862,12000,8298.692961111445
0.2764675808695338,0.15482854920750025,-0.007614576225421955,3000,6379.779727401703
0.3198999136092226,0.1625840774306752,-0.012653372594427038,12000,12308.705340727283
0.4722332058040905,0.15747952738704177,-0.0008878736442161536,15000,6379.779727401703
0.1896930846842057,0.1494620313934657,-0.03656081441378556,12000,10124.162225871132
0.4722332058040905,0.16052513404875712,-0.01943514277958216,15000,8867.27474861856
0.07498632668291193,0.1489053531977365,0.0020658788922229736,6000,12625.18983357999
0.30466658438973576,0.14235281164596064,0.007309601386192114,39000,15674.647469510692
0.0567270438764676,0.13303551728270085,-0.00885122135715012,7000,8044.38748849249
0.06045829535513537,0.15033981959832374,0.00015864993769271917,3000,12990.003729794424
0.06045829535513537,0.17017266849846274,-0.004858572755444459,10000,8980.724685620986
0.03096723983469186,0.15652482516852262,0.002418649138224471,6000,12625.18983357999
0.1896930846842057,0.1718348695961186,-0.002951006906978832,25000,9968.772979815913
0.03096723983469186,0.14911969513273912,-0.007922784528435207,12000,5961.998200255187
0.07498632668291193,0.14497239073591514,-0.012492295849225395,25000,12308.705340727283
0.3198999136092226,0.15042711398463404,-0.026278437925015757,10000,12625.18983357999
0.06045829535513537,0.14155153587359992,-0.009097936677423762,7000,9367.701460379212
0.030709161363584057,0.16115867596131245,-0.008687017059124278,15000,3180.534231222965
0.3965352901233879,0.1473910870679289,-0.010619620792057399,22000,13439.594459895283
0.3198999136092226,0.16367764284029282,-0.005615716708848224,3000,1388.161926428812
0.07498632668291193,0.15571110210317451,-0.017087613366623726,39000,16949.69186366355
0.2764675808695338,0.18202570327602485,-0.006754159050585798,3000,10868.15254697223
0.1896930846842057,0.14992498943806842,-0.0029019381923046992,20000,5852.089204350804
0.1589499598856141,0.15509632268420992,-0.017117078479324817,25000,1944.8338863255753
0.30466658438973576,0.17212542181768156,-0.001851338588075044,5000,14929.56671203167
0.030709161363584057,0.16042344561971872,-0.01574211594126819,7000,9362.142291789198
0.030709161363584057,0.1474955056040646,-0.015834428084170155,12000,3721.496251044161
0.3965352901233879,0.15276062218630346,-0.004736771927069928,8000,11428.776259500675
0.30466658438973576,0.1476113830038886,-0.0060142235243440005,25000,1932.7685273621282
0.0567270438764676,0.15476699812482872,-0.004083776374112521,3000,3982.1550627694223
0.30466658438973576,0.1528625117316625,-0.013645581745693901,25000,5756.56884800299
0.2764675808695338,0.17009070847837024,-0.010450215753408635,12000,7818.674849699402
0.3965352901233879,0.15523517167083234,0.0006853703429379312,12000,14929.56671203167
0.2764675808695338,0.166931185922609,-0.002491717364961898,28000,7903.372032495086
0.4722332058040905,0.17790034565121046,-0.019471079048627042,10000,1944.8338863255753
0.30466658438973576,0.1738091715718746,-0.0028679203831837633,20000,9815.38693042659
0.2764675808695338,0.1690637224808131,-0.0043866333627912224,3000,9362.142291789198
0.4722332058040905,0.17472049369934622,-0.016929677197963268,6000,14088.177761028734
0.30466658438973576,0.14167916678890932,-0.00444354874791211,6000,10588.791757848958
0.16426813223584644,0.15767719321249768,-0.007665576363856552,4000,10124.162225871132
0.03096723983469186,0.15317759527631505,-0.010579023505691973,3000,8371.635549928305
