식당인증,체험결제,체험추가소비,지표1_원,지표1_증가율,이동인원,팝업구매,팝업추가소비,지표2_강남동증가율,추가소비합,팝업총지출,주민증월이용_증가율
3710.720530512425,130.3973847231971,591119.7709701094,152.7171645928379,0.0003301942953151116,648.952294319849,3776.904106987202,7407944.044089361,0.0006764603837215228,7999063.81505947,24512203.202230975,0.5226366944383697
2032.1723588057673,1142.3691469978962,6224927.948573438,153.1976061995087,0.0034771899000978213,332.46315686241263,2979.392114493358,12663720.964318488,0.0011563944721883,18888648.912891924,34859786.89715564,0.2862214589867278
2410.4578605252927,142.54486016084974,399269.13342479523,152.70080389583907,0.00022302821970554554,367.4479204995178,2837.3032701200295,14094189.106666313,0.0012870184378547382,14493458.240091108,25159147.641308203,0.33950110711623843
1097.9812432927085,436.29276260155564,5846533.101900357,153.16533732872708,0.003265821873034813,172.59505074518043,3994.6356510649584,30165629.447833218,0.0027545906327092083,36012162.54973357,56277137.14274588,0.1546452455341843
3340.776274775204,1534.6731119362048,2553028.0331061888,152.88447280211426,0.0014260989628671616,525.3270602665885,4855.488231554312,15124388.981713023,0.0013810916920041123,17677417.014819212,45457771.71991936,0.47053186968664845
2185.0158136836367,61.15935152462538,70793.96062682892,152.67279209018375,3.9544882593611774e-05,316.2307558766109,5061.705886738024,16144452.540166982,0.0014742393429670903,16215246.500793811,41841884.787945285,0.3077487061526249
1802.5977924620242,1001.3676957698226,8043426.496903547,153.3526846716089,0.004492987165196416,261.77181961663274,3511.573544744992,15163359.950940097,0.0013846503469616077,23206786.447843645,47194124.35746964,0.2538870130228203
1669.8809000776616,180.58779238053066,1799707.978052735,152.82023094542024,0.00100530101811791,260.8346247417706,1918.1944714825406,6401423.985294653,0.0005845494646941402,8201131.963347388,16058425.029139174,0.23519449296868475
1515.06055275607,282.9659910714183,324979.38378588366,152.69446859198234,0.00018153062017356447,239.49937509056952,1523.4776806069647,7838312.504322501,0.0007157597105007571,8163291.888108385,20474922.19605948,0.21338881024733378
4031.324473032602,1802.4892461972756,16194866.752544237,154.0478256720906,0.009046309864242374,618.8240945746596,4561.6955888376915,31227661.91689725,0.0028515706972550505,47422528.669441484,52134598.248777166,0.5677921793003664
3636.0505271813454,803.7912347782346,6475195.204444432,153.21894856664605,0.003616986983956405,555.6978087935825,3915.929050800545,15930973.760638354,0.0014547454137126491,22406168.965082787,49439347.641187586,0.5121197925607529
3360.761613850426,190.8290557196622,651652.1295215063,152.72232668971466,0.0003640071374109155,570.4835263549408,2663.3743200383037,1954897.6769308143,0.00017851252990066187,2606549.8064523204,5724699.741120954,0.4733467061761163
2833.6004767492386,698.3264646866103,3676348.6611299366,152.9802676801649,0.002053575967357002,438.48517902876983,5659.801348419893,7871937.710049914,0.0007188302141970196,11548286.37117985,14952832.111421097,0.39909865869707584
2765.6637753059726,890.9815305359521,5467299.598112771,153.13299693868905,0.0030539853794973038,479.687428651902,2673.248745156063,16326740.420364441,0.0014908850585195104,21794040.018477213,39910445.47866239,0.38953010919802433
3861.758343920132,1240.1636975661088,18996127.46427513,154.28671243475995,0.010611069414046215,640.8692329769875,4255.5019775683495,22828152.135256015,0.0020845649563713555,41824279.599531144,34277767.88294174,0.543909625904244
3177.8079515154427,779.8961701591134,1038130.5629953819,152.7552849150692,0.0005798905848310998,534.3910549868732,3627.2715740528224,21630181.87585766,0.0019751716595893466,22668312.43885304,48749058.95117596,0.4475785847204849
1104.741769714855,101.8391050956305,825153.7506561871,152.73712261371315,0.0004609236141386308,181.8678997041818,4391.029532967656,24121730.47187767,0.002202688756005496,24946884.22253386,74426597.54804823,0.15559743235420495
3020.582707383336,390.9366907350369,10547845.152856769,153.56625724719387,0.005891933358315393,539.9518146381286,3541.0895804459406,6472199.393477762,0.0005910123590535804,17020044.54633453,9355331.526378242,0.42543418413849804
1565.7417496395951,837.0437772256221,11753884.275375418,153.66910621816777,0.006565616184942558,237.07154967952422,2884.7168640805735,15162144.800442034,0.0013845393848421171,26916029.07581745,26994010.357053787,0.22052700699149227
3065.6151208019814,1085.599356775035,2308474.5558442622,152.86361769632634,0.0012894935453917622,440.0228011380721,2846.01770799224,10628841.457123794,0.0009705783585579225,12937316.012968056,24991965.84148068,0.43177677757774385
1590.8970152279458,965.9717973320089,9267147.276027877,153.4570415042707,0.005176546809398497,238.38748773107207,4160.488467570389,3881311.1327220327,0.0003544240078701238,13148458.40874991,8091458.955397655,0.2240700021447811
2418.3073197213303,556.3887009664426,7593133.681426667,153.31428446398377,0.004241457566300122,417.2894811137333,4170.973172032665,3953708.279376459,0.00036103499214791026,11546841.960803125,8111849.963924002,0.34060666474948315
1993.3372794695335,753.5910314325744,4294204.075634505,153.03295734205557,0.002398704557564857,353.1268402530936,3963.359641390874,8318642.130454243,0.000759621267941265,12612846.206088748,36496018.77782907,0.2807517295027512
956.2892865351263,332.71519834804934,4475304.096783509,153.0484012447207,0.002499865433586157,146.4748716218038,3658.8484816692658,17490604.042119525,0.001597163889391639,21965908.138903033,28607346.60248833,0.13468863190635583
