year,vis,avg_stay,daytrip_stay,overnight_stay,overnight_ex7_stay,daytrip_share,overnight_share,n1_share_ovn,n2_share_ovn,n7_share_ovn,전국중앙_평균체류,전국중앙_무박체류,전국중앙_숙박객체류,전국중앙_무박비중,months,LN숙박비율,LN평균숙박일,n_x,전국중앙_LN숙박비율,전국중앙_LN평균숙박일,avg_stay_rank_low,daytrip_rank_high,n_y,avg_stay_yoy,daytrip_stay_yoy,overnight_stay_yoy,overnight_ex7_stay_yoy,daytrip_share_yoy,overnight_share_yoy
2022,5031900.0,23.21776033704963,4.102694661698105,143.4607932037189,80.77427623293403,86.28349132534431,13.716508674655698,64.74592184015961,22.00330048782891,3.24890865124797,24.234575556296804,3.992944108816975,194.71230392507925,87.88420903440701,8,13.25,3.2575000000000003,157,12.2375,3.53625,62,83,136,,,,,,
2023,4931836.0,21.54066439151667,4.154766489407073,130.9732661410196,78.14472881721805,86.2907241846647,13.709275815335303,65.76667716777668,22.27507287918251,2.7061804209022378,22.723113559553735,3.9436851243259747,172.4907973624879,88.02866305194698,8,13.275,3.5549999999999997,157,12.1375,3.45625,55,83,136,-7.223332143956796,1.2692104093219303,-8.70448767487757,-3.2554267748967303,0.00838266881564298,-0.052731051989629574
2024,4795748.0,20.068389327379172,3.6122253539923332,132.02366376280543,79.71562775731913,87.18481454822063,12.815185451779367,65.0259362430522,22.648978821446704,2.705895369876209,21.066662881110652,3.570702470947062,166.73230192110947,88.93975518580115,8,12.600000000000001,3.585,157,11.237499999999999,3.42125,58,86,136,-6.834863759900189,-13.058282259616604,0.8019939127538178,2.0102429989557358,1.036137281270877,-6.521791344775485
2025,5013497.0,19.46729443141184,3.432509045928204,136.2739863837662,80.69611376172372,87.9293834223896,12.0706165776104,64.1261815057175,22.84833762971776,2.8151232731839513,21.340097365723814,3.376442548121811,179.14405925732046,89.7071778044024,8,11.6875,3.77625,157,10.3625,3.57625,50,85,136,-2.9952323834342875,-4.975224147228296,3.2193642410931256,1.2299796564225973,0.8540121098235209,-5.81005149687932
2026,6973087.0,14.762666807398215,2.447108638076894,138.23720421929454,82.4827290787348,90.9304444358718,9.069555564128198,64.24256990519079,22.3617550140095,2.896139955852682,20.762218418297508,3.3000427514208086,181.61386298503604,89.99260995482169,7,8.685714285714285,3.701428571428572,157,10.085714285714285,3.492857142857143,18,52,136,-24.166828321157862,-28.707875046104714,1.440640204066268,2.214004161695482,3.413035434430256,-24.8625328638872
