year,nights,vis,stay_hours,stay_pp
2018,1박,467991.0,14248223.82,30.44550818284967
2018,2박,136180.0,7612145.84,55.89767836686738
2018,3박,31597.0,6242238.26,197.55794094376049
2018,4박,13126.0,6003138.52,457.3471369800396
2018,5박,7166.0,5934540.13,828.1524044097125
2018,6박,3961.0,4588279.29,1158.3638702347891
2018,7박이상,15202.0,30658882.41,2016.7663735034864
2018,무박,3844442.0,16063714.68,4.1784255504439916
2019,1박,451923.0,16603272.44,36.73916229092124
2019,2박,124234.0,8065164.43,64.9191399294879
2019,3박,33153.0,7480898.590000001,225.64771182095137
2019,4박,15091.0,7596503.319999999,503.3797177125439
2019,5박,8550.0,7644514.969999999,894.0953181286549
2019,6박,4883.0,6129580.9799999995,1255.2899815687076
2019,7박이상,18150.0,39317466.010000005,2166.2515707988982
2019,무박,4626258.0,18425082.86,3.9827184000546443
2020,1박,377799.0,14194918.020000001,37.572672293997606
2020,2박,116150.0,7857453.169999999,67.64918786052517
2020,3박,29554.0,7128535.960000001,241.20376125059218
2020,4박,14085.0,7129533.119999999,506.1791352502662
2020,5박,7612.0,6797165.469999999,892.9539503415658
2020,6박,4427.0,5377270.84,1214.6534538061892
2020,7박이상,19184.0,41763515.53999999,2176.9972654295243
2020,무박,4468461.0,16459110.459999999,3.683395795554666
2021,1박,392765.0,14518124.44,36.96389556095884
2021,2박,135905.0,8676166.43,63.839935469629516
2021,3박,33583.0,7526321.13,224.1110421939672
2021,4박,14705.0,7142610.98,485.72669024141453
2021,5박,7856.0,6818612.939999999,867.949712321792
2021,6박,4563.0,5184585.49,1136.2229870699102
2021,7박이상,19634.0,40024139.13,2038.5117209941939
2021,무박,4095561.0,16315322.590000002,3.983660013854024
2022,1박,446877.0,15903978.530000001,35.58916330444396
2022,2박,151867.0,9194209.809999999,60.54119598069362
2022,3박,39933.0,8510644.89,213.12310344827588
2022,4박,15332.0,7401385.35,482.74102204539525
2022,5박,8462.0,6975066.600000001,824.2810919404396
2022,6박,5306.0,5953918.68,1122.1105691669807
2022,7박이상,22424.0,45077579.06999999,2010.2380962361751
2022,무박,4341699.0,17812665.31,4.102694661698105
2023,1박,444661.0,15723523.180000002,35.360697655067575
2023,2박,150606.0,9254848.18,61.45072692986999
2023,3박,34956.0,7446758.73,213.03234723652594
2023,4박,14535.0,6835338.47,470.2675245958032
2023,5박,8653.0,7286038.239999999,842.0245279093955
2023,6박,4411.0,4858815.0,1101.522330537293
2023,7박이상,18297.0,37148191.93,2030.2886773788052
2023,무박,4255717.0,17681510.38,4.154766489407073
2024,1박,399639.0,13910224.27,34.806973969007025
2024,2박,139197.0,8559235.92,61.49008901053902
2024,3박,33481.0,7046273.19,210.45587616857324
2024,4박,13950.0,6916435.489999998,495.80182724014327
2024,5박,7562.0,6516655.04,861.763427664639
2024,6박,4125.0,4717454.57,1143.6253503030305
2024,7박이상,16630.0,33473352.89,2012.8293980757667
2024,무박,4181164.0,15103306.61,3.6122253539923332
2025,1박,388066.0,13453470.760000002,34.667996577901704
2025,2박,138269.0,8207183.880000001,59.35664451178501
2025,3박,35291.0,7562904.090000001,214.30121249043668
2025,4박,13732.0,6568517.68,478.3365627730847
2025,5박,8501.0,6722698.910000001,790.8127173273733
2025,6박,4265.0,4944545.89,1159.3308065650644
2025,7박이상,17036.0,35008244.38999999,2054.956820262972
2025,무박,4408337.0,15131656.63,3.432509045928204
2026,1박,406288.0,14172675.8,34.88332365218761
2026,2박,141422.0,8693324.28,61.47080567379898
2026,3박,38290.0,8083298.06,211.10728806476885
2026,4박,15032.0,7138065.42,474.8579976051091
2026,5박,8449.0,7312518.270000001,865.4892022724584
2026,6박,4631.0,5253751.889999999,1134.4746037572875
2026,7박이상,18316.0,36771444.870000005,2007.6132818300941
2026,무박,6340659.0,15516281.41,2.447108638076894
