region,vis,avg_stay,daytrip_stay,overnight_stay,daytrip_share,overnight_share,n7_share_ovn
인제군,6973087.0,14.762666807398215,2.447108638076894,138.23720421929454,90.9304444358718,9.069555564128198,2.896139955852682
홍천군,12454657.0,15.497386058885443,3.5695346171554356,84.5816252773662,85.27645522474043,14.723544775259567,1.3823457396713976
가평군,14050012.0,15.716657777231791,4.528754926613624,62.460445545411986,80.68776738411326,19.312232615886735,0.8914741109859285
양양군,8178064.0,16.869189913407375,4.357863449638814,62.86508778791606,78.615757959341,21.384242040659014,0.9879249801437199
속초시,13205805.0,18.68419460835595,4.806750544542611,61.19976999411953,75.39155697058982,24.608443029410175,1.0884245308013587
영월군,4413020.0,20.12326858024663,4.204534298166736,97.62068513898788,82.95933397084083,17.040666029159173,1.6885458665333346
평창군,8803584.0,21.93602848112769,4.441626892120073,87.33653496137651,78.8956861205618,21.10431387943819,1.4847120675846748
삼척시,6278488.0,24.986316802707915,4.132647561610612,115.4904662280832,81.27327789748105,18.72672210251895,2.4044975356260445
정선군,4760881.0,27.054204301682816,5.890076168590517,85.88561076050617,73.54336308763021,26.45663691236979,1.2525713160612877
철원군,3341749.0,28.633649205849995,4.49718745692889,179.33211740632683,86.19471420504652,13.80528579495348,3.841868651617686
춘천시,15625574.0,32.08468078164682,4.270853599174187,182.0347034385666,84.35349638995662,15.64650361004338,3.8646856911000076
