year,vis,stay_hours,overnight_vis,overnight_hours,daytrip_vis,daytrip_hours,n1,n2,n3to6,n7p,overnight_ex7_vis,overnight_ex7_hours,avg_stay,daytrip_stay,overnight_stay,overnight_ex7_stay,daytrip_share,overnight_share,n1_share_all,n2_share_all,n3to6_share_all,n7_share_all,n1_share_ovn,n2_share_ovn,n3to6_share_ovn,n7_share_ovn,scope
2018,4519665.0,91351162.95,675223.0,75287448.27,3844442.0,16063714.68,467991.0,136180.0,55850.0,15202.0,660021.0,44628565.85999999,20.211932289229402,4.1784255504439916,111.50012406271705,67.61688773539022,85.06033079885346,14.939669201146547,10.354550613817617,3.0130551711244085,1.235711053805979,0.3363523623985406,69.30910232619446,20.168151855016784,8.271341467929854,2.2514043508589014,jan_aug
2019,5282242.0,111262483.6,655984.0,92837400.74,4626258.0,18425082.86,451923.0,124234.0,61677.0,18150.0,637834.0,53519934.73000001,21.063496068525446,3.9827184000546443,141.5238797592624,83.90887712163355,87.58133383514047,12.418666164859543,8.555514874176533,2.351917992397925,1.1676291998738415,0.3436040984112428,68.89238152150052,18.938571672479817,9.402211029537305,2.766835776482353,jan_aug
2020,5037272.0,106707502.57999998,568811.0,90248392.11999997,4468461.0,16459110.459999999,377799.0,116150.0,55678.0,19184.0,549627.0,48484876.58,21.183589565939656,3.683395795554666,158.66147476050915,88.21414628466214,88.70795541713848,11.292044582861518,7.5000714672544975,2.305811558319662,1.1053204988731995,0.3808410584141575,66.41907417402265,20.41978794362275,9.788488619242596,3.372649263112,jan_aug
2021,4704572.0,106205883.12999997,609011.0,89890560.53999996,4095561.0,16315322.590000002,392765.0,135905.0,60707.0,19634.0,589377.0,49866421.41000001,22.575036183950413,3.983660013854024,147.60088165895192,84.60869937238814,87.05491169016013,12.945088309839875,8.348580912355045,2.8887856323593306,1.290383057162267,0.4173387079632324,64.49226697054733,22.315688879182808,9.968128654490641,3.223915495779223,jan_aug
2022,5031900.0,116829448.24000002,690201.0,99016782.92999999,4341699.0,17812665.31,446877.0,151867.0,69033.0,22424.0,667777.0,53939203.859999985,23.21776033704963,4.102694661698105,143.4607932037189,80.77427623293403,86.28349132534431,13.716508674655698,8.880879985691289,3.018084620123611,1.3719072318607286,0.4456368369800672,64.74592184015961,22.00330048782891,10.001869020763516,3.24890865124797,jan_aug
2023,4931836.0,106235024.11000001,676119.0,88553513.73000002,4255717.0,17681510.38,444661.0,150606.0,62555.0,18297.0,657822.0,51405321.80000001,21.54066439151667,4.154766489407073,130.9732661410196,78.14472881721805,86.2907241846647,13.709275815335303,9.016135167511653,3.0537511790740814,1.2683917307874797,0.37099773796208957,65.76667716777668,22.27507287918251,9.252069532138574,2.7061804209022378,jan_aug
2024,4795748.0,96242937.98,614584.0,81139631.37,4181164.0,15103306.61,399639.0,139197.0,59118.0,16630.0,597954.0,47666278.480000004,20.068389327379172,3.6122253539923332,132.02366376280543,79.71562775731913,87.18481454822063,12.815185451779367,8.333194321302955,2.902508638902628,1.2327169817930383,0.34676550978074744,65.0259362430522,22.648978821446704,9.619189565624877,2.705895369876209,jan_aug
2025,5013497.0,97599222.22999996,605160.0,82467565.59999996,4408337.0,15131656.63,388066.0,138269.0,61789.0,17036.0,588124.0,47459321.21,19.46729443141184,3.432509045928204,136.2739863837662,80.69611376172372,87.9293834223896,12.0706165776104,7.7404254954176706,2.757935229641107,1.2324531160585117,0.3398027364931105,64.1261815057175,22.84833762971776,10.210357591380792,2.8151232731839513,jan_aug
2026,6973087.0,102941360.0,632428.0,87425078.59,6340659.0,15516281.41,406288.0,141422.0,66402.0,18316.0,614112.0,50653633.71999999,14.762666807398215,2.447108638076894,138.23720421929454,82.4827290787348,90.9304444358718,9.069555564128198,5.826515573375178,2.0281117961098145,0.9522611721322278,0.26266702251097684,64.24256990519079,22.3617550140095,10.499535124947029,2.896139955852682,jan_aug
