year,n,avg_stay,avg_stay_p25,avg_stay_p75,daytrip_stay,daytrip_stay_p25,daytrip_stay_p75,overnight_stay,overnight_stay_p25,overnight_stay_p75,overnight_ex7_stay,overnight_ex7_stay_p25,overnight_ex7_stay_p75,daytrip_share,daytrip_share_p25,daytrip_share_p75,overnight_share,overnight_share_p25,overnight_share_p75,n1_share_ovn,n1_share_ovn_p25,n1_share_ovn_p75,n7_share_ovn,n7_share_ovn_p25,n7_share_ovn_p75
2018,136,23.328392914856217,18.81289038600793,29.124675278777694,4.213806854092876,3.533052523308095,4.943910468224244,158.56160567589745,115.68431401245348,208.3570453185713,90.82945904966203,68.54556904644818,120.83351144958769,86.84080988731381,81.58228699335001,90.52618975433111,13.1591901126862,9.473810245668883,18.417713006649993,68.73508322309746,66.8848231040977,72.73445057253915,3.4743145027175166,2.417887066382995,4.883969648298053
2019,136,24.49403157388928,19.962323258239543,30.48212079224124,4.005414642423039,3.3816750548289525,4.664154417374325,178.52671156558836,130.00707194184642,244.7760309408078,103.26435208598203,75.2795866226768,140.84199144894814,87.84109263526807,83.27970047575184,91.06379265581108,12.158907364731935,8.93620734418892,16.720299524248155,67.84155715446283,65.46910547903083,72.1259523548378,3.827833840385037,2.6158544999933975,5.435707844297397
2020,136,24.336695745778734,20.14413613629914,30.07006427033665,3.950143870447543,3.28650808938286,4.551510172465767,198.55354918439937,148.4728754839811,253.75245190668807,100.0138254297494,80.41959020548367,135.549815067354,88.65014053229824,84.08369255049018,91.74301635484198,11.349859467701762,8.256983645158012,15.916307449509823,67.49753971491049,65.4128018949352,71.60694767928335,4.586048606238865,3.2755290240591313,5.963640486744344
2021,136,23.372622635636702,19.181764036697427,29.185328132611218,3.854462794812469,3.222952387698559,4.393460317633984,197.68649485853757,146.91576344608617,256.46720978088143,104.5065084887409,79.55123175806168,137.90442143007493,88.93806528649158,84.5271335372102,92.32653923041858,11.06193471350842,7.673460769581414,15.472866462789788,66.9999724326687,64.9634116581215,70.51647566087792,4.563310405301202,3.240507407239662,6.220332572473003
2022,136,24.234575556296804,20.035284360597444,30.59512298404371,3.992944108816975,3.3052629079130496,4.562404639199472,194.71230392507925,139.31395077071494,245.78941523412493,101.44898315484927,75.5948982233159,131.4736084153299,87.88420903440701,83.54574408196191,91.87791956015188,12.115790965592995,8.122080439848116,16.454255918038086,67.43319224137201,64.82815562362093,70.83112738809366,4.369596601156481,3.055317370749915,5.816088991569271
2023,136,22.723113559553735,19.158032139252416,28.073308234167737,3.9436851243259747,3.267494764783339,4.57074060893414,172.4907973624879,130.5136802929514,228.017689699679,95.87222782327991,74.30357813088807,128.74936245469283,88.02866305194698,83.73222747516587,91.68692325217032,11.971336948053033,8.313076747829683,16.26777252483413,67.52239130305693,65.11941583301058,71.38493641419564,3.7985460106134346,2.6574238075096774,5.501914131554795
2024,136,21.066662881110652,17.334480690134523,25.316121975792072,3.570702470947062,3.0708888268441363,4.061437216924089,166.73230192110947,127.3950363862479,226.30824732621753,94.75629560255322,73.16310686055331,124.26936634903784,88.93975518580115,85.16833014577311,91.99502493670302,11.060244814198864,8.00497506329699,14.831669854226877,67.46575424687123,64.95901673693436,71.0206252889518,3.6416679873760134,2.5934876731114227,5.48619047577064
2025,136,21.340097365723814,17.523825139669686,26.276285734397593,3.376442548121811,2.951394291198755,3.8873444623778304,179.14405925732046,133.2030424484548,247.7765312276339,99.12713373447781,76.04787838677224,130.77608058728214,89.7071778044024,85.53324458840578,92.37973105284306,10.292822195597594,7.6202689471569345,14.466755411594225,66.12006666916719,63.379919982986195,70.01573469805574,4.065527551874254,2.799138465409356,6.046051535320623
2026,136,20.762218418297508,16.496022630458842,25.343244594641344,3.3000427514208086,2.9032849631974265,3.8545018755494818,181.61386298503604,130.26908587270373,245.604832040834,99.70417079055444,76.13144860762293,130.0881034125744,89.99260995482169,85.75588070617226,92.73660115660859,10.007390045178301,7.263398843391421,14.24411929382774,66.45793875978164,63.91320546397026,69.87695249335276,3.968599533347331,2.716031773309341,5.939942201177538
