year,month,vis,stay_hours,overnight_vis,overnight_hours,daytrip_vis,daytrip_hours,n1,n2,n3to6,n7p,overnight_ex7_vis,overnight_ex7_hours,avg_stay,daytrip_stay,overnight_stay,overnight_ex7_stay,daytrip_share,overnight_share,n1_share_all,n2_share_all,n3to6_share_all,n7_share_all,n1_share_ovn,n2_share_ovn,n3to6_share_ovn,n7_share_ovn
2018,1,452874.0,9106172.04,48595.0,7727796.51,404279.0,1378375.53,34066.0,7929.0,4838.0,1762.0,46833.0,4170173.0700000003,20.107517852647753,3.4094660618038533,159.024519189217,89.04347511370189,89.26964232877135,10.730357671228642,7.522180562363924,1.7508181083480172,1.068288309772696,0.38907069074400386,70.10186233151559,16.31649346640601,9.95575676509929,3.625887436979113
2018,2,347061.0,9565835.59,53134.0,8373737.83,293927.0,1192097.76,35435.0,9775.0,5842.0,2082.0,51052.0,4261811.91,27.562404274752854,4.055761328493129,157.59660161102119,83.47982272976573,84.69029939981732,15.309700600182676,10.210020716819233,2.816507760883533,1.6832775794456882,0.5998945430342216,66.68987842059698,18.39688335152633,10.994843226559265,3.9183950013174242
2018,3,348645.0,8766633.76,43529.0,7649436.13,305116.0,1117197.63,30609.0,6983.0,4219.0,1718.0,41811.0,4120527.9699999997,25.144871602919874,3.6615504594973713,175.73195180224678,98.55128961278132,87.51480732550301,12.48519267449698,8.77941745901992,2.0028969295415107,1.2101134391716502,0.49276484676390025,70.31863814927979,16.042178777366814,9.692388982057938,3.946794091295458
2018,4,421692.0,8890779.719999999,51747.0,7518673.9799999995,369945.0,1372105.74,36961.0,8964.0,4210.0,1612.0,50135.0,4116689.9399999995,21.083586409037874,3.7089452215869927,145.29680909038206,82.11209614042086,87.72872143649867,12.271278563501323,8.764927956897452,2.125722091004809,0.9983589918708442,0.3822695237282187,71.42636288093995,17.32274334744043,8.13573733743019,3.1151564341894216
2018,5,585172.0,11636226.95,88982.0,9575282.99,496190.0,2060943.96,62226.0,18446.0,6303.0,2007.0,86975.0,5711021.970000001,19.88513966833683,4.1535378786352,107.60921298689622,65.6627993101466,84.7938725707997,15.206127429200302,10.633796558960443,3.1522355820169117,1.077119205977046,0.34297608224590376,69.93099728034883,20.730035288035783,7.0834550808028585,2.255512350812524
2018,6,583443.0,9895786.43,82887.0,7831736.62,500556.0,2064049.81,66433.0,10414.0,4442.0,1598.0,81289.0,4656939.62,16.96101663744359,4.123514272129392,94.48691133712163,57.288681371403264,85.79347082748443,14.206529172515566,11.386373647468561,1.7849215776005538,0.7613425818803208,0.27389136556613075,80.1488773872863,12.564093283627106,5.359103357583216,1.927925971503372
2018,7,770479.0,15772185.62,131760.0,12766280.52,638719.0,3005905.1,90541.0,28609.0,10297.0,2313.0,129447.0,7916252.039999999,20.47062362504364,4.706146364833362,96.89041074681238,61.15438781895293,82.8989498740394,17.101050125960604,11.751261228404667,3.713144680127557,1.336441356610628,0.30020286081775105,68.71660595021251,21.712962962962962,7.814966605950213,1.7554644808743172
2018,8,1010299.0,17717542.84,174589.0,13844503.69,835710.0,3873039.15,111720.0,45060.0,15699.0,2110.0,172479.0,9675149.34,17.536929997951102,4.634429586818394,79.29768593668558,56.094651174925644,82.7190762338674,17.2809237661326,11.058112499368997,4.460065782505971,1.5538964207625663,0.20884906349506435,63.990285756834616,25.809186145748015,8.991975439460678,1.2085526579566868
2018,9,648850.0,12176365.72,94152.0,9776741.07,554698.0,2399624.65,67917.0,16276.0,8262.0,1697.0,92455.0,6534469.5600000005,18.766071850196504,4.326001986666618,103.83997227886822,70.67729771240063,85.489404330739,14.510595669261,10.467288279263313,2.5084380057023967,1.2733297372274024,0.26153964706788935,72.13548304868723,17.286940266802617,8.775172062197298,1.802404622312856
2018,10,884439.0,13033188.78,92580.0,10182288.459999999,791859.0,2850900.32,70479.0,13941.0,6156.0,2004.0,90576.0,6123314.069999999,14.736108177047823,3.6002625719982975,109.98367314754806,67.6041563990461,89.53234762374794,10.467652376252065,7.968780209827925,1.5762534216605104,0.696034435387856,0.2265843093757738,76.12767336357744,15.058327932598834,6.649384316267012,2.164614387556708
