year,n,avg_stay,avg_stay_rank_low,daytrip_share,daytrip_rank_high,overnight_stay,overnight_stay_rank_low,overnight_ex7_stay,n7_share_ovn,n7_rank_high
2018,136,20.211932289229402,44,85.06033079885346,83,111.50012406271705,30,67.61688773539022,2.2514043508589014,107
2019,136,21.063496068525446,41,87.58133383514047,71,141.5238797592624,47,83.90887712163355,2.766835776482353,98
2020,136,21.183589565939656,44,88.70795541713848,67,158.66147476050915,44,88.21414628466214,3.372649263112,98
2021,136,22.575036183950413,63,87.05491169016013,84,147.60088165895192,35,84.60869937238814,3.223915495779223,103
2022,136,23.21776033704963,62,86.28349132534431,83,143.4607932037189,43,80.77427623293403,3.24890865124797,90
2023,136,21.54066439151667,55,86.2907241846647,83,130.9732661410196,36,78.14472881721805,2.7061804209022378,99
2024,136,20.068389327379172,58,87.18481454822063,86,132.02366376280543,40,79.71562775731913,2.705895369876209,99
2025,136,19.46729443141184,50,87.9293834223896,85,136.2739863837662,36,80.69611376172372,2.8151232731839513,101
2026,136,14.762666807398215,18,90.9304444358718,52,138.23720421929454,40,82.4827290787348,2.896139955852682,97
