시군,체험문화_2024,체험문화_2026,방문_2026,①체험문화_변화율,②평균숙박일수,③저녁전환율,④야간방문비중,①체험문화_변화율_문제백분위,②평균숙박일수_문제백분위,③저녁전환율_문제백분위,④야간방문비중_문제백분위,진단점수,순위,유형,순위_P10,순위_P90,상위20_비율
속초시,756.5842076669161,728.1101626851973,17973055.0,-0.037634997787654556,2.5708333333333333,0.6656988787617016,0.1326200296878224,55.55555555555556,97.22222222222221,0.694444444444442,1.388888888888884,38.71527777777777,107,평균숙박일수,37,136,0.044
무주군,129.7826864119616,198.541564514929,5577895.0,0.529800083538956,3.4075,0.5179540758103816,0.10120163403049781,6.25,65.97222222222221,51.388888888888886,30.555555555555557,38.541666666666664,108,-,69,130,0.0
여수시,1078.9295891069708,1063.8502440098716,17349503.0,-0.01397620868807603,2.6625,0.6126570737815461,0.12775708730016191,45.833333333333336,95.13888888888889,4.861111111111116,4.1666666666666625,37.5,109,평균숙박일수,43,134,0.025
장흥군,46.713682172864274,66.77400955521398,3653712.0,0.4294315166189713,3.66,0.4986410043272827,0.09222874725067984,7.638888888888884,29.861111111111114,62.5,49.30555555555556,37.326388888888886,110,-,74,134,0.0
평창군,375.8032224446192,494.40446806459835,11816839.0,0.31559400914252933,3.0500000000000003,0.5364684650543016,0.11270279815463734,12.5,85.76388888888889,38.19444444444444,12.5,37.23958333333333,111,평균숙박일수,55,132,0.0
익산시,179.84378973846924,158.43263493058004,17646074.0,-0.11905417940216634,3.669166666666667,0.5808930205765823,0.10213107903831506,76.38888888888889,27.77777777777778,13.888888888888884,28.47222222222222,36.63194444444444,112,체험문화,69,130,0.0
영동군,77.2035348460792,84.51474125443676,4483845.0,0.09470041006456409,3.779166666666667,0.5276693352760599,0.09150093394950394,28.47222222222222,18.055555555555557,46.52777777777778,52.77777777777778,36.458333333333336,113,-,82,130,0.0
홍천군,170.47595450394064,211.37319011506068,15132799.0,0.2399003174971206,3.145,0.5516955243441807,0.10421146873076745,14.583333333333337,78.47222222222221,28.47222222222222,24.305555555555557,36.45833333333333,114,평균숙박일수,66,128,0.0
의왕시,122.51126999489324,142.6524365828928,20666545.0,0.1644025614038538,3.589166666666667,0.597192384593511,0.08201755429360057,19.444444444444443,39.583333333333336,9.027777777777779,77.08333333333334,36.28472222222223,115,야간방문비중,61,135,0.0
청양군,48.41746003700085,53.372875102041775,3406693.0,0.10234768740974798,3.935,0.4859585980712552,0.0983226849855859,26.388888888888886,7.638888888888884,72.91666666666667,37.5,36.111111111111114,116,-,72,139,0.0
계룡시,94.6928080606739,125.49935975050023,3442408.0,0.3253314831479832,3.5241666666666664,0.5686999100606001,0.08952651223452539,11.805555555555557,54.16666666666667,20.138888888888886,57.638888888888886,35.9375,117,-,76,131,0.0
통영시,143.71142984185323,154.37439396320391,10677982.0,0.07419704983162934,2.5658333333333334,0.60225664171609,0.12300121489375193,32.638888888888886,97.91666666666666,6.25,5.555555555555558,35.59027777777778,118,평균숙박일수,47,135,0.027
제천시,295.3096246947313,282.3332064834672,10492719.0,-0.04394173818302782,3.5733333333333337,0.5513386395599947,0.11442202340618576,56.94444444444444,43.40277777777778,29.166666666666664,11.111111111111116,35.15625,119,-,84,127,0.0
춘천시,818.2557888221091,991.0675990609874,19743292.0,0.21119534086968494,3.1291666666666664,0.5671421858946942,0.10866405967220436,16.666666666666664,80.20833333333334,22.22222222222222,18.75,34.46180555555556,120,평균숙박일수,69,132,0.0
경산시,184.8750491652508,150.48595442186752,20804626.0,-0.1860126333902664,4.0633333333333335,0.5671921577666338,0.10356310892194445,86.80555555555556,3.472222222222221,21.52777777777778,25.694444444444443,34.375,121,체험문화,58,142,0.0
구미시,323.9525627603837,257.6105138830768,17979732.0,-0.2047893935828432,3.689166666666667,0.5930028063153104,0.1116139195000683,88.19444444444444,24.65277777777778,10.416666666666663,13.888888888888884,34.28819444444444,122,체험문화,61,138,0.0
목포시,537.4907637288552,547.7038379548143,18195863.0,0.019001394842779407,2.8350000000000004,0.6984193960195597,0.13110809968621598,40.27777777777778,93.05555555555556,0.0,2.083333333333337,33.85416666666667,123,평균숙박일수,53,140,0.012
김천시,123.72044322390911,117.85743564518773,10343904.0,-0.04738915757123918,3.6833333333333336,0.5697069025947796,0.10152513470619505,58.33333333333333,25.694444444444443,19.444444444444443,29.861111111111114,33.33333333333333,124,-,92,131,0.0
의정부시,385.017939883501,383.2063457413194,29950039.0,-0.004705220080731154,3.6391666666666667,0.5794311743624398,0.09833118853534673,44.44444444444444,36.111111111111114,15.277777777777779,36.80555555555556,33.15972222222223,125,-,98,126,0.0
태백시,124.31220319057614,118.63146859811303,3672550.0,-0.04569732050967101,3.8808333333333334,0.5304962692514049,0.1094538504742784,57.638888888888886,12.5,44.44444444444444,15.972222222222221,32.638888888888886,126,-,86,138,0.0
상주시,66.23730934587603,67.78315079430212,9297281.0,0.023337926369473516,3.9008333333333334,0.5455959079017945,0.09521569919667239,38.888888888888886,11.805555555555557,31.944444444444443,43.75,31.59722222222222,127,-,97,137,0.0
예천군,119.71779208354481,163.67906180757282,4591638.0,0.36720748820150084,3.5675000000000003,0.5351228669898288,0.10327716206395349,9.722222222222221,47.22222222222222,40.27777777777778,26.388888888888886,30.90277777777778,128,-,98,136,0.0
군산시,176.491725207819,197.03513031190616,17867362.0,0.11639868713333335,3.4716666666666662,0.5636149531756512,0.11188055545488873,25.0,62.5,22.916666666666664,13.194444444444443,30.902777777777775,129,-,93,131,0.0
거제시,321.92967088089665,328.4638081600522,15429362.0,0.02029678488868769,3.2750000000000004,0.6239768050159634,0.13054593487891192,39.583333333333336,73.61111111111111,4.1666666666666625,2.777777777777779,30.034722222222225,130,-,80,140,0.0
서귀포시,988.8090282985266,1065.7367396308002,29571424.0,0.07779835047081374,3.22,0.5981008482785687,0.12995668053062726,31.25,76.38888888888889,8.333333333333337,3.472222222222221,29.86111111111111,131,평균숙박일수,79,139,0.0
군포시,269.5739216149377,282.6981008813128,17480740.0,0.04868489944335863,3.654166666666667,0.6349179947724404,0.09469453101265696,35.416666666666664,32.638888888888886,2.777777777777779,47.22222222222222,29.513888888888886,132,-,100,138,0.0
보령시,253.34159036694788,346.8222480805269,11461609.0,0.368990569523854,3.078333333333333,0.5848738641953739,0.12217965842607051,9.027777777777779,81.94444444444444,13.194444444444443,6.944444444444442,27.77777777777778,133,평균숙박일수,81,142,0.0
철원군,335.4915544711196,341.1347326260699,4148572.0,0.016820626569411967,3.7591666666666668,0.5780291574682423,0.10016775619622274,40.97222222222222,18.75,15.972222222222221,32.638888888888886,27.083333333333332,134,-,111,139,0.0
원주시,458.5239906740505,496.94805193414675,23349185.0,0.08379945660773647,3.5733333333333337,0.5861186475146737,0.10904690831738359,30.555555555555557,43.40277777777778,12.5,16.666666666666664,25.78125,135,-,115,136,0.0
제주시,558.4577404327417,609.8690641822684,39206919.0,0.09205947026482031,3.3425,0.6420649661912694,0.132741238941405,29.861111111111114,70.83333333333333,1.388888888888884,0.694444444444442,25.694444444444443,136,-,92,144,0.0
오산시,287.18308304354906,299.6752116601808,21615308.0,0.04349883177045433,3.674166666666667,0.631802771744791,0.09849553430074966,36.111111111111114,27.083333333333336,3.472222222222221,35.416666666666664,25.520833333333336,137,-,113,141,0.0
고흥군,107.5805183616777,122.31641343379185,4528967.0,0.1369754979481801,3.643333333333333,0.5442877642137864,0.1151859729014585,22.22222222222222,34.375,33.333333333333336,9.722222222222221,24.913194444444443,138,-,118,140,0.0
진도군,41.90789832268577,56.0002863175978,3492625.0,0.3362704539941932,3.265,0.6392454300724799,0.11746826681180413,11.111111111111116,75.0,2.083333333333337,9.027777777777779,24.305555555555557,139,평균숙박일수,93,143,0.0
진주시,248.8237357410623,333.9542545329667,15293406.0,0.3421318249176002,3.5574999999999997,0.5762588608952107,0.1067736378874879,10.416666666666663,49.30555555555556,16.666666666666664,20.138888888888886,24.131944444444443,140,-,120,140,0.0
동두천시,195.25489499574817,230.06457636303136,6713602.0,0.17827814953392696,4.023333333333333,0.5587843094345158,0.09746358289050468,18.055555555555557,5.555555555555558,25.0,40.27777777777778,22.22222222222222,141,-,114,143,0.0
양구군,151.1781132645089,172.91158012954344,1944676.0,0.143760670084621,3.6675,0.6004225801307607,0.10713017818831319,21.52777777777778,28.47222222222222,6.944444444444442,19.444444444444443,19.09722222222222,142,-,131,143,0.0
완도군,41.78039983667791,76.92424932193293,4527207.0,0.8411563705142708,3.5700000000000003,0.5906641436148753,0.11372631943487334,2.083333333333337,45.833333333333336,11.111111111111116,11.805555555555557,17.708333333333336,143,-,131,144,0.0
영양군,17.46803139900069,28.979873387778465,1209046.0,0.6590234311942182,4.081666666666667,0.5310636660896326,0.11505270069044289,4.1666666666666625,2.777777777777779,43.05555555555556,10.416666666666663,15.104166666666666,144,-,125,144,0.0
