기초지자체명,기초지자체 방문자 수,기초지자체 방문자 비율
강남동,1839173.0,6.9
길안면,600341.0,2.2
남선면,153013.0,0.6
남후면,530180.0,2.0
녹전면,143094.0,0.5
도산면,447360.0,1.7
명륜동,1143548.0,4.3
북후면,305452.0,1.1
서구동,2148846.0,8.0
서후면,807583.0,3.0
송하동,1109836.0,4.1
안기동,273228.0,1.0
예안면,142786.0,0.5
옥동,2539618.0,9.5
와룡면,505155.0,1.9
용상동,2635864.0,9.8
일직면,463718.0,1.7
임동면,240334.0,0.9
임하면,272776.0,1.0
중구동,3387142.0,12.7
태화동,975828.0,3.6
평화동,299778.0,1.1
풍산읍,4113820.0,15.4
풍천면,1691277.0,6.3
