기준연월,지역명,관광소비액(백만원),전국 관광소비액(백만원),전국 대비 관광소비율
2020,경상북도 안동시,196328.0,1.24421595E8,0.2
2021,경상북도 안동시,229139.0,1.33305392E8,0.2
2023,경상북도 안동시,262093.0,1.59930317E8,0.2
2024,경상북도 안동시,264865.0,1.61756691E8,0.2
2025,경상북도 안동시,262568.0,1.5980595E8,0.2
2022,경상북도 안동시,257077.0,1.56044453E8,0.2
