기준연월,지역명,관광소비액(백만원),전국 관광소비액(백만원),전국 대비 관광소비율
2020,경상북도 안동시,9156.0,6384930.0,0.1
2021,경상북도 안동시,10868.0,7133311.0,0.2
2023,경상북도 안동시,10111.0,7896098.0,0.1
2024,경상북도 안동시,10668.0,7791507.0,0.1
2025,경상북도 안동시,9522.0,7614905.0,0.1
2022,경상북도 안동시,11362.0,7999426.0,0.1
