BASE_DATE,SIDO_NM,TOU_DIV_NM,TOU_NUM,SPPY_TOU_NUM,DTL_TOU_NUM_RATE
201802,전북특별자치도,전체방문자(a+b),30087152.0,0.0,0.0
201802,서울특별시,현지인방문자(a),112745882.0,0.0,0.0
201802,충청북도,현지인방문자(a),18020454.0,0.0,0.0
201802,광주광역시,현지인방문자(a),18937390.0,0.0,0.0
201802,대전광역시,현지인방문자(a),18164492.0,0.0,0.0
201802,인천광역시,현지인방문자(a),27795232.0,0.0,0.0
201802,충청남도,현지인방문자(a),23179748.0,0.0,0.0
201802,대구광역시,현지인방문자(a),30215668.0,0.0,0.0
201802,경기도,현지인방문자(a),131429739.0,0.0,0.0
201802,부산광역시,현지인방문자(a),34097878.0,0.0,0.0
201802,전라남도,현지인방문자(a),19864800.0,0.0,0.0
201802,울산광역시,현지인방문자(a),12815929.0,0.0,0.0
201802,전북특별자치도,현지인방문자(a),22566082.0,0.0,0.0
201802,경상북도,현지인방문자(a),33161758.0,0.0,0.0
201802,경상남도,현지인방문자(a),37545088.0,0.0,0.0
201802,제주특별자치도,현지인방문자(a),11855756.0,0.0,0.0
201802,강원특별자치도,현지인방문자(a),20969249.0,0.0,0.0
201802,세종특별자치시,현지인방문자(a),2261780.0,0.0,0.0
201803,인천광역시,외지인방문자(b),13076976.0,0.0,0.0
201803,제주특별자치도,외지인방문자(b),4182532.0,0.0,0.0
201803,강원특별자치도,외지인방문자(b),9936948.0,0.0,0.0
201803,경상남도,외지인방문자(b),12409894.0,0.0,0.0
201803,전북특별자치도,외지인방문자(b),7523142.0,0.0,0.0
201803,광주광역시,외지인방문자(b),5962918.0,0.0,0.0
201803,대전광역시,외지인방문자(b),8172700.0,0.0,0.0
201803,울산광역시,외지인방문자(b),3970204.0,0.0,0.0
201803,서울특별시,외지인방문자(b),55548748.0,0.0,0.0
201803,충청북도,외지인방문자(b),9117885.0,0.0,0.0
201803,경기도,외지인방문자(b),53385339.0,0.0,0.0
201803,세종특별자치시,외지인방문자(b),2244886.0,0.0,0.0
201803,대구광역시,외지인방문자(b),9436294.0,0.0,0.0
201803,전라남도,외지인방문자(b),9340698.0,0.0,0.0
201803,부산광역시,외지인방문자(b),13231071.0,0.0,0.0
201803,경상북도,외지인방문자(b),14431228.0,0.0,0.0
201803,충청남도,외지인방문자(b),13446814.0,0.0,0.0
201803,강원특별자치도,전체방문자(a+b),34676484.0,0.0,0.0
