DPTR_REGN_NM,DPTR_REGN_DTL_NM,TOU_NUM,TOU_NUM_SQRT,TOU_NUM_RATE,DTL_TOU_NUM,DTL_TOU_NUM_SQRT,DTL_TOU_NUM_RATE
가회동,가회동,47167060.0,6868.0,0.1,47167060.0,6868.0,100.0
가회면,가회면,5867152.0,2422.0,0.0,5867152.0,2422.0,100.0
가흥1동,가흥1동,16179436.0,4022.0,0.0,16179436.0,4022.0,100.0
가흥2동,가흥2동,6455334.0,2541.0,0.0,6455334.0,2541.0,100.0
각남면,각남면,2547601.0,1596.0,0.0,2547601.0,1596.0,100.0
각북면,각북면,5584128.0,2363.0,0.0,5584128.0,2363.0,100.0
간동면,간동면,5210114.0,2283.0,0.0,5210114.0,2283.0,100.0
간석1동,간석1동,65280730.0,8080.0,0.1,65280730.0,8080.0,100.0
간석2동,간석2동,10200964.0,3194.0,0.0,10200964.0,3194.0,100.0
간석3동,간석3동,19741642.0,4443.0,0.0,19741642.0,4443.0,100.0
간석4동,간석4동,16677384.0,4084.0,0.0,16677384.0,4084.0,100.0
간성읍,간성읍,11539955.0,3397.0,0.0,11539955.0,3397.0,100.0
간전면,간전면,4909041.0,2216.0,0.0,4909041.0,2216.0,100.0
갈마1동,갈마1동,17643098.0,4200.0,0.0,17643098.0,4200.0,100.0
갈마2동,갈마2동,20095240.0,4483.0,0.0,20095240.0,4483.0,100.0
갈말읍,갈말읍,23374911.0,4835.0,0.0,23374911.0,4835.0,100.0
갈매동,갈매동,20155156.0,4489.0,0.0,20155156.0,4489.0,100.0
갈산1동,갈산1동,11717682.0,3423.0,0.0,11717682.0,3423.0,100.0
갈산2동,갈산2동,19595254.0,4427.0,0.0,19595254.0,4427.0,100.0
갈산동,갈산동,8407329.0,2900.0,0.0,8407329.0,2900.0,100.0
갈산면,갈산면,6665855.0,2582.0,0.0,6665855.0,2582.0,100.0
갈현1동,갈현1동,24109655.0,4910.0,0.0,24109655.0,4910.0,100.0
갈현2동,갈현2동,13012472.0,3607.0,0.0,13012472.0,3607.0,100.0
갈현동,갈현동,4984178.0,2233.0,0.0,4984178.0,2233.0,100.0
감곡면,감곡면,23011768.0,4797.0,0.0,5505233.0,2346.0,23.9
감곡면,감곡면,23011768.0,4797.0,0.0,17506534.0,4184.0,76.1
감만1동,감만1동,10578634.0,3252.0,0.0,10578634.0,3252.0,100.0
감만2동,감만2동,2068990.0,1438.0,0.0,2068990.0,1438.0,100.0
감문면,감문면,2740514.0,1655.0,0.0,2740514.0,1655.0,100.0
감물면,감물면,3514245.0,1875.0,0.0,3514245.0,1875.0,100.0
감북동,감북동,15525094.0,3940.0,0.0,15525094.0,3940.0,100.0
감삼동,감삼동,18935262.0,4351.0,0.0,18935262.0,4351.0,100.0
감일동,감일동,22289568.0,4721.0,0.0,22289568.0,4721.0,100.0
감전동,감전동,34800549.0,5899.0,0.0,34800549.0,5899.0,100.0
감천1동,감천1동,10069154.0,3173.0,0.0,10069154.0,3173.0,100.0
감천2동,감천2동,7328818.0,2707.0,0.0,7328818.0,2707.0,100.0
감천면,감천면,5130048.0,2265.0,0.0,1111904.0,1054.0,21.7
감천면,감천면,5130048.0,2265.0,0.0,4018144.0,2005.0,78.3
감포읍,감포읍,24007022.0,4900.0,0.0,24007022.0,4900.0,100.0
갑천면,갑천면,5513634.0,2348.0,0.0,5513634.0,2348.0,100.0
강경읍,강경읍,15199408.0,3899.0,0.0,15199408.0,3899.0,100.0
강구면,강구면,37077936.0,6089.0,0.0,37077936.0,6089.0,100.0
강남동,강남동,66346700.0,8145.0,0.1,14636226.0,3826.0,22.1
강남동,강남동,66346700.0,8145.0,0.1,41580553.0,6448.0,62.7
강남동,강남동,66346700.0,8145.0,0.1,10129920.0,3183.0,15.3
강내면,강내면,17569069.0,4192.0,0.0,17569069.0,4192.0,100.0
강동동,강동동,46023478.0,6784.0,0.1,10544152.0,3247.0,22.9
강동동,강동동,46023478.0,6784.0,0.1,35479325.0,5956.0,77.1
강동면,강동면,41521582.0,6444.0,0.1,13348685.0,3654.0,32.1
강동면,강동면,41521582.0,6444.0,0.1,28172896.0,5308.0,67.9
강림면,강림면,2562637.0,1601.0,0.0,2562637.0,1601.0,100.0
강상면,강상면,12018069.0,3467.0,0.0,12018069.0,3467.0,100.0
강서1동,강서1동,42598070.0,6527.0,0.1,42598070.0,6527.0,100.0
강서2동,강서2동,30526381.0,5525.0,0.0,30526381.0,5525.0,100.0
강서동,강서동,12001678.0,3464.0,0.0,12001678.0,3464.0,100.0
강일동,강일동,20557828.0,4534.0,0.0,20557828.0,4534.0,100.0
강진면,강진면,7113462.0,2667.0,0.0,7113462.0,2667.0,100.0
강진읍,강진읍,21051357.0,4588.0,0.0,21051357.0,4588.0,100.0
강천면,강천면,14584034.0,3819.0,0.0,14584034.0,3819.0,100.0
강하면,강하면,17710252.0,4208.0,0.0,17710252.0,4208.0,100.0
강현면,강현면,46321180.0,6806.0,0.1,46321180.0,6806.0,100.0
강화읍,강화읍,41649734.0,6454.0,0.1,41649734.0,6454.0,100.0
개군면,개군면,8663403.0,2943.0,0.0,8663403.0,2943.0,100.0
개금1동,개금1동,13473030.0,3671.0,0.0,13473030.0,3671.0,100.0
개금2동,개금2동,13575121.0,3684.0,0.0,13575121.0,3684.0,100.0
개금3동,개금3동,11104544.0,3332.0,0.0,11104544.0,3332.0,100.0
개령면,개령면,1705788.0,1306.0,0.0,1705788.0,1306.0,100.0
개봉1동,개봉1동,25661794.0,5066.0,0.0,25661794.0,5066.0,100.0
개봉2동,개봉2동,15960840.0,3995.0,0.0,15960840.0,3995.0,100.0
개봉3동,개봉3동,16035148.0,4004.0,0.0,16035148.0,4004.0,100.0
개운동,개운동,12295248.0,3506.0,0.0,12295248.0,3506.0,100.0
개정동,개정동,2731423.0,1653.0,0.0,2731423.0,1653.0,100.0
개정면,개정면,2478850.0,1574.0,0.0,2478850.0,1574.0,100.0
개진면,개진면,3925936.0,1981.0,0.0,3925936.0,1981.0,100.0
개천면,개천면,1701021.0,1304.0,0.0,1701021.0,1304.0,100.0
개포1동,개포1동,18428886.0,4293.0,0.0,18428886.0,4293.0,100.0
개포2동,개포2동,19237022.0,4386.0,0.0,19237022.0,4386.0,100.0
개포3동,개포3동,8377313.0,2894.0,0.0,8377313.0,2894.0,100.0
개포4동,개포4동,28152120.0,5306.0,0.0,28152120.0,5306.0,100.0
개포면,개포면,2526268.0,1589.0,0.0,2526268.0,1589.0,100.0
개항동,개항동,30128262.0,5489.0,0.0,30128262.0,5489.0,100.0
거류면,거류면,6441026.0,2538.0,0.0,6441026.0,2538.0,100.0
거북섬동,거북섬동,11474074.0,3387.0,0.0,11474074.0,3387.0,100.0
거여1동,거여1동,8468369.0,2910.0,0.0,8468369.0,2910.0,100.0
거여2동,거여2동,9352889.0,3058.0,0.0,9352889.0,3058.0,100.0
거제1동,거제1동,42925253.0,6552.0,0.1,42925253.0,6552.0,100.0
거제2동,거제2동,33898662.0,5822.0,0.0,33898662.0,5822.0,100.0
거제3동,거제3동,20445369.0,4522.0,0.0,20445369.0,4522.0,100.0
거제4동,거제4동,4173172.0,2043.0,0.0,4173172.0,2043.0,100.0
거제면,거제면,11568924.0,3401.0,0.0,11568924.0,3401.0,100.0
거진읍,거진읍,13340152.0,3652.0,0.0,13340152.0,3652.0,100.0
거창읍,거창읍,27216028.0,5217.0,0.0,27216028.0,5217.0,100.0
건국동,건국동,56836496.0,7539.0,0.1,56836496.0,7539.0,100.0
건입동,건입동,35848305.0,5987.0,0.0,35848305.0,5987.0,100.0
건천읍,건천읍,45394514.0,6738.0,0.1,45394514.0,6738.0,100.0
검단동,검단동,27493557.0,5243.0,0.0,19119362.0,4373.0,69.5
검단동,검단동,27493557.0,5243.0,0.0,8374195.0,2894.0,30.5
검산동,검산동,9676265.0,3111.0,0.0,9676265.0,3111.0,100.0
검암경서동,검암경서동,50849852.0,7131.0,0.1,50849852.0,7131.0,100.0
결성면,결성면,2186391.0,1479.0,0.0,2186391.0,1479.0,100.0
겸면,겸면,6360754.0,2522.0,0.0,6360754.0,2522.0,100.0
겸백면,겸백면,2360146.0,1536.0,0.0,2360146.0,1536.0,100.0
경안동,경안동,40235934.0,6343.0,0.0,40235934.0,6343.0,100.0
경암동,경암동,21398404.0,4626.0,0.0,21398404.0,4626.0,100.0
경천면,경천면,1902027.0,1379.0,0.0,1902027.0,1379.0,100.0
경포동,경포동,61619873.0,7850.0,0.1,61619873.0,7850.0,100.0
경화동,경화동,9619760.0,3102.0,0.0,9619760.0,3102.0,100.0
계곡면,계곡면,2143840.0,1464.0,0.0,2143840.0,1464.0,100.0
계남면,계남면,2645108.0,1626.0,0.0,2645108.0,1626.0,100.0
계룡면,계룡면,12301086.0,3507.0,0.0,12301086.0,3507.0,100.0
계림1동,계림1동,13565442.0,3683.0,0.0,13565442.0,3683.0,100.0
계림2동,계림2동,7656664.0,2767.0,0.0,7656664.0,2767.0,100.0
계림동,계림동,13141012.0,3625.0,0.0,13141012.0,3625.0,100.0
계북면,계북면,1860865.0,1364.0,0.0,1860865.0,1364.0,100.0
계산1동,계산1동,25605370.0,5060.0,0.0,25605370.0,5060.0,100.0
계산2동,계산2동,17090696.0,4134.0,0.0,17090696.0,4134.0,100.0
계산3동,계산3동,11213766.0,3349.0,0.0,11213766.0,3349.0,100.0
계산4동,계산4동,34227865.0,5850.0,0.0,34227865.0,5850.0,100.0
